reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2010),HS2002,USD,Import,1,General,CIF,Origin,4,2010
Afghanistan(2010),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2010
Albania(2010),HS2007,ALL,Import,0.009615,Special,CIF,Origin,8,2010
Albania(2010),HS2007,ALL,Export,0.009597,Special,FOB,Last Known Destination,8,2010
Algeria(2010),HS2007,USD,Import,1,Special,CIF,Origin,12,2010
Algeria(2010),HS2007,USD,Export,1,Special,FOB,Last Known Destination,12,2010
Andorra(2010),HS2007,EUR,Import,1.328501,General,CIF,Origin,20,2010
Andorra(2010),HS2007,EUR,Export,1.320732,General,FOB,Last Known Destination,20,2010
Angola(2010),HS2007,USD,Import,1,Special,CIF,Origin,24,2010
Angola(2010),HS2007,USD,Export,1,Special,FOB,Last Known Destination,24,2010
Antigua and Barbuda(2010),HS1996,XCD,Import,0.37037,General,CIF,Origin,28,2010
Antigua and Barbuda(2010),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2010
Argentina(2010),HS2007,USD,Import,1,Special,CIF,Origin,32,2010
Argentina(2010),HS2007,USD,Export,1,Special,FOB,Last Known Destination,32,2010
Armenia(2010),HS2007,USD,Import,1,General,CIF,Origin,51,2010
Armenia(2010),HS2007,USD,Export,1,General,FOB,Last Known Destination,51,2010
Aruba(2010),HS2007,AWG,Import,0.558659,General,CIF,Origin,533,2010
Aruba(2010),HS2007,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2010
Australia(2010),HS2007,AUD,Import,0.920479,General,FOB,Origin,36,2010
Australia(2010),HS2007,AUD,Export,0.919925,General,FOB,Last Known Destination,36,2010
Austria(2010),HS2007,EUR,Import,1.325032,Special,CIF,Origin,40,2010
Austria(2010),HS2007,EUR,Export,1.324663,Special,FOB,Last Known Destination,40,2010
Azerbaijan(2010),HS2007,USD,Import,1,General,CIF,Origin,31,2010
Azerbaijan(2010),HS2007,USD,Export,1,General,FOB,Last Known Destination,31,2010
Bahamas(2010),HS2007,BSD,Import,1,General,CIF,Origin,44,2010
Bahamas(2010),HS2007,BSD,Export,1,General,FOB,Last Known Destination,44,2010
Bahrain(2010),HS2007,BHD,Import,2.659576,General,CIF,Origin,48,2010
Bahrain(2010),HS2007,BHD,Export,2.659575,General,FOB,Last Known Destination,48,2010
Bangladesh(2010),HS2007,BDT,Import,0.014345,General,CIF,Origin,50,2010
Bangladesh(2010),HS2007,BDT,Export,0.014347,General,FOB,Last Known Destination,50,2010
Barbados(2010),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2010
Barbados(2010),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2010
Belarus(2010),HS2007,USD,Import,1,General,CIF,Origin,112,2010
Belarus(2010),HS2007,USD,Export,1,General,FOB,Last Known Destination,112,2010
Belgium(2010),HS2007,EUR,Import,1.326194,Special,CIF,Origin/Consignment for Intra EU,56,2010
Belgium(2010),HS2007,EUR,Export,1.325954,Special,FOB,Last Known Destination,56,2010
Belize(2010),HS2007,BZD,Import,0.5,General,CIF,Origin,84,2010
Belize(2010),HS2007,BZD,Export,0.5,General,FOB,Last Known Destination,84,2010
Benin(2010),HS2002,XOF,Import,0.002022,General,CIF,Origin,204,2010
Benin(2010),HS2002,XOF,Export,0.002015,General,FOB,Last Known Destination,204,2010
Bermuda(2010),HS2007,USD,Import,1,General,CIF,Origin,60,2010
Bermuda(2010),HS2007,USD,Export,1,General,FOB,N/A,60,2010
Bhutan(2010),HS2007,BTN,Import,0.021849,General,CIF,Origin,64,2010
Bhutan(2010),HS2007,BTN,Export,0.021862,General,FOB,Last Known Destination,64,2010
Bolivia (Plurinational State of)(2010),HS2007,USD,Import,1,General,CIF,Origin,68,2010
Bolivia (Plurinational State of)(2010),HS2007,USD,Export,1,General,FOB,Last Known Destination,68,2010
Bosnia Herzegovina(2010),HS2007,EUR,Import,1.324788,Special,CIF,Origin,70,2010
Bosnia Herzegovina(2010),HS2007,EUR,Export,1.323946,Special,FOB,Last Known Destination,70,2010
Botswana(2010),HS1996,BWP,Import,0.147442,General,CIF,Origin,72,2010
Botswana(2010),HS1996,BWP,Export,0.147145,General,FOB,Last Known Destination,72,2010
Brazil(2010),HS2007,USD,Import,1,Special,CIF/FOB,Origin,76,2010
Brazil(2010),HS2007,USD,Export,1,Special,FOB,Last Known Destination,76,2010
Brunei Darussalam(2010),HS2007,BND,Import,0.734358,Special,CIF,Origin,96,2010
Brunei Darussalam(2010),HS2007,BND,Export,0.735125,Special,FOB,Last Known Destination,96,2010
Bulgaria(2010),HS2007,BGN,Import,0.67672,Special,CIF,Consignment,100,2010
Bulgaria(2010),HS2007,BGN,Export,0.675936,Special,FOB,Last Known Destination,100,2010
Burkina Faso(2010),HS2007,XAF,Import,0.002021,General,CIF,Origin,854,2010
Burkina Faso(2010),HS2007,XAF,Export,0.002021,General,FOB,Last Known Destination,854,2010
Burundi(2010),HS2002,BIF,Import,0.000812,General,CIF,Origin,108,2010
Burundi(2010),HS2002,BIF,Export,0.000812,General,FOB,Last Known Destination,108,2010
