reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1992),HS1992,DZD,Import,0.0459,Special,CIF,Origin,12,1992
Algeria(1992),HS1992,DZD,Export,0.04581,Special,FOB,Last Known Destination,12,1992
Argentina(1992),SITC Rev.3,USD,Import,1,Special,CIF,Origin,32,1992
Argentina(1992),SITC Rev.3,USD,Export,1,Special,FOB,Last Known Destination,32,1992
Australia(1992),HS1992,AUD,Import,0.732992,General,FOB,Origin,36,1992
Australia(1992),HS1992,AUD,Export,0.73357000000000006,General,FOB,Last Known Destination,36,1992
Austria(1992),SITC Rev.3,ATS,Import,0.091115,Special,CIF,Origin,40,1992
Austria(1992),SITC Rev.3,ATS,Export,0.09112,Special,FOB,Last Known Destination,40,1992
Bahrain(1992),SITC Rev.1,BHD,Import,2.65958,General,CIF,Origin,48,1992
Bahrain(1992),SITC Rev.1,BHD,Export,2.65958,General,FOB,Last Known Destination,48,1992
Bangladesh(1992),HS1992,BDT,Import,0.026116,General,CIF,Origin,50,1992
Bangladesh(1992),HS1992,BDT,Export,0.02616,General,FOB,Last Known Destination,50,1992
Barbados(1992),SITC Rev.3,XCD,Import,0.497194,General,CIF,Origin,52,1992
Barbados(1992),SITC Rev.3,XCD,Export,0.49719,General,FOB,Last Known Destination,52,1992
Belgium-Luxembourg(1992),SITC Rev.3,BEF,Import,0.31096,Special,CIF,Origin,58,1992
Belgium-Luxembourg(1992),SITC Rev.3,BEF,Export,0.31115,Special,FOB,Last Known Destination,58,1992
Belize(1992),HS1992,XCD,Import,0.37037,General,CIF,Origin,84,1992
Belize(1992),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,84,1992
Benin(1992),SITC Rev.2,XOF,Import,0.003783,General,CIF,Origin,204,1992
Benin(1992),SITC Rev.2,XOF,Export,0.00378,General,FOB,Last Known Destination,204,1992
Bermuda(1992),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1992
Bermuda(1992),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1992
Bhutan(1992),SITC Rev.2,BTN,Import,0.038584,General,CIF,Origin,64,1992
Bhutan(1992),SITC Rev.2,BTN,Export,0.03858,General,FOB,Last Known Destination,64,1992
Bolivia (Plurinational State of)(1992),HS1992,USD,Import,1,Special,CIF,Origin,68,1992
Bolivia (Plurinational State of)(1992),HS1992,USD,Export,1,Special,FOB,Last Known Destination,68,1992
Brazil(1992),HS1992,USD,Import,1,Special,CIF,Purchase,76,1992
Brazil(1992),HS1992,USD,Export,1,Special,FOB,Last Known Destination,76,1992
Brunei Darussalam(1992),HS1992,BND,Import,0.61349,General,CIF,Origin,96,1992
