reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1976),SITC Rev.1,USD,Import,1,General,CIF,Origin,4,1976
Afghanistan(1976),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,4,1976
Algeria(1976),SITC Rev.2,DZD,Import,0.240092,Special,CIF,Origin,12,1976
Algeria(1976),SITC Rev.2,DZD,Export,0.24014,Special,FOB,Consignment,12,1976
Argentina(1976),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1976
Argentina(1976),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1976
Australia(1976),SITC Rev.1,AUD,Import,1.22423,General,FOB,Origin,36,1976
Australia(1976),SITC Rev.1,AUD,Export,1.2247,General,FOB,Last Known Destination,36,1976
Austria(1976),SITC Rev.1,ATS,Import,0.55916,Special,CIF,Origin,40,1976
Austria(1976),SITC Rev.1,ATS,Export,0.55924,Special,FOB,Last Known Destination,40,1976
Bahamas(1976),SITC Rev.1,BSD,Import,1,General,CIF,Origin,44,1976
Bahamas(1976),SITC Rev.1,BSD,Export,1,General,FOB,Last Known Destination,44,1976
Bahrain(1976),SITC Rev.1,BHD,Import,2.52775,Special,CIF,Origin,48,1976
Bahrain(1976),SITC Rev.1,BHD,Export,2.527751,Special,FOB,Last Known Destination,48,1976
Barbados(1976),SITC Rev.1,XCD,Import,0.49905,General,CIF,Origin,52,1976
Barbados(1976),SITC Rev.1,XCD,Export,0.49905,General,FOB,Last Known Destination,52,1976
Belgium-Luxembourg(1976),SITC Rev.1,BEF,Import,0.25939,Special,CIF,Origin,58,1976
Belgium-Luxembourg(1976),SITC Rev.1,BEF,Export,0.25967,Special,FOB,Last Known Destination,58,1976
Belize(1976),SITC Rev.1,BZD,Import,0.45155,General,CIF,Origin,84,1976
Belize(1976),SITC Rev.1,BZD,Export,0.451552,General,FOB,Last Known Destination,84,1976
Bermuda(1976),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1976
Bermuda(1976),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1976
Bolivia (Plurinational State of)(1976),SITC Rev.1,USD,Import,1,Special,CIF,Origin,68,1976
Bolivia (Plurinational State of)(1976),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,68,1976
Brazil(1976),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1976
Brazil(1976),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1976
Brunei Darussalam(1976),SITC Rev.1,BND,Import,0.393523,Special,CIF,Origin,96,1976
Brunei Darussalam(1976),SITC Rev.1,BND,Export,0.39447,General,FOB,Last Known Destination,96,1976
Burkina Faso(1976),SITC Rev.2,XOF,Import,0.42015,Special,CIF,Origin,854,1976
Burkina Faso(1976),SITC Rev.2,XOF,Export,0.42014,Special,FOB,Last Known Destination,854,1976
Burundi(1976),SITC Rev.2,BIF,Import,1.149,Special,CIF,Origin,108,1976
Burundi(1976),SITC Rev.2,BIF,Export,1.1171,Special,FOB,Last Known Destination,108,1976
Cameroon(1976),SITC Rev.2,XOF,Import,0.40749,Special,CIF,Origin,120,1976
Cameroon(1976),SITC Rev.2,XOF,Export,0.41863,Special,FOB,Last Known Destination,120,1976
Canada(1976),SITC Rev.1,CAD,Import,1.0146,General,FOB,Consignment,124,1976
Canada(1976),SITC Rev.1,CAD,Export,1.014595,General,FOB,Consignment,124,1976
Central African Rep.(1976),SITC Rev.2,XOF,Import,0.419343,Special,CIF,Origin,140,1976
Central African Rep.(1976),SITC Rev.2,XOF,Export,0.4174,NULL,FOB,Last Known Destination,140,1976
Chile(1976),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,152,1976
Chile(1976),SITC Rev.1,USD,Export,1,Special,FOB,Sale,152,1976
"China, Hong Kong SAR(1976)",SITC Rev.1,HKD,Import,0.203128,General,CIF,Consignment,344,1976
"China, Hong Kong SAR(1976)",SITC Rev.1,HKD,Export,0.20313,General,FOB,Last Known Destination,344,1976
"China, Macao SAR(1976)",SITC Rev.2,MOP,Import,0.184781,Special,CIF,Origin,446,1976
"China, Macao SAR(1976)",SITC Rev.2,MOP,Export,0.18612,Special,FOB,Last Known Destination,446,1976
Colombia(1976),SITC Rev.1,USD,Import,1,Special,CIF,Origin,170,1976
Colombia(1976),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,170,1976
Dem. Rep. of the Congo(1976),SITC Rev.1,CDF,Import,1.23277,Special,CIF,Origin,180,1976
Dem. Rep. of the Congo(1976),SITC Rev.1,CDF,Export,1.24421,Special,FOB,Last Known Destination,180,1976
Egypt(1976),SITC Rev.1,EGP,Import,2.55558,Special,CIF,Consignment,818,1976
Egypt(1976),SITC Rev.1,EGP,Export,2.555582,Special,FOB,Last Known Destination,818,1976
Kenya(1976),SITC Rev.1,KES,Import,0.11948,General,CIF,Origin,404,1976
Kenya(1976),SITC Rev.1,KES,Export,0.11948,General,FOB,Last Known Destination,404,1976
Madagascar(1976),SITC Rev.2,MGF,Import,0.416753,Special,CIF,Origin,450,1976
Madagascar(1976),SITC Rev.2,MGF,Export,0.41648,Special,FOB,Last Known Destination,450,1976
Malawi(1976),SITC Rev.1,MWK,Import,1.09194,General,CIF,Origin,454,1976
Malawi(1976),SITC Rev.1,MWK,Export,1.09178,General,FOB,Last Known Destination,454,1976
Mauritius(1976),SITC Rev.1,MUR,Import,0.149559,General,CIF,Origin,480,1976
Mauritius(1976),SITC Rev.1,MUR,Export,0.14976,General,FOB,Last Known Destination,480,1976
Seychelles(1976),SITC Rev.1,SCR,Import,0.149652,Special,CIF,Origin,690,1976
Seychelles(1976),SITC Rev.1,SCR,Export,0.149652,Domestic,FOB,Last Known Destination,690,1976
Fmr Sudan(1976),SITC Rev.1,SDD,Import,2.87158,General,CIF,Origin,736,1976
Fmr Sudan(1976),SITC Rev.1,SDD,Export,2.87158,General,FOB,Last Known Destination,736,1976
United Rep. of Tanzania(1976),SITC Rev.1,TZS,Import,0.119235,General,CIF,Origin,834,1976
United Rep. of Tanzania(1976),SITC Rev.1,TZS,Export,0.119387,General,FOB,Last Known Destination,834,1976
Uganda(1976),SITC Rev.1,UGX,Import,0.11952,General,CIF,Origin,800,1976
