reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1981),SITC Rev.2,DZD,Import,0.232238,Special,CIF,Origin,12,1981
Algeria(1981),SITC Rev.2,DZD,Export,0.2317,Special,FOB,Last Known Destination,12,1981
Angola(1981),SITC Rev.2,PTE,Import,NA,NULL,NULL,,24,1981
Angola(1981),SITC Rev.2,PTE,Export,0.33761,Special,FOB,Last Known Destination,24,1981
Antigua and Barbuda(1981),SITC Rev.1,XCD,Import,0.37037,Special,CIF,Origin,28,1981
Antigua and Barbuda(1981),SITC Rev.1,XCD,Export,0.37037,Domestic,FOB,Last Known Destination,28,1981
Argentina(1981),SITC Rev.2,USD,Import,1,Special,CIF,Origin,32,1981
Argentina(1981),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,32,1981
Australia(1981),SITC Rev.2,AUD,Import,1.14858,General,FOB,Origin,36,1981
Australia(1981),SITC Rev.2,AUD,Export,1.1494,General,FOB,Last Known Destination,36,1981
Austria(1981),SITC Rev.2,ATS,Import,0.62925,Special,CIF,Origin,40,1981
Austria(1981),SITC Rev.2,ATS,Export,0.62936,Special,FOB,Last Known Destination,40,1981
Bahamas(1981),SITC Rev.1,BSD,Import,1,General,CIF,Origin,44,1981
Bahamas(1981),SITC Rev.1,BSD,Export,1,General,FOB,Last Known Destination,44,1981
Bahrain(1981),SITC Rev.1,BHD,Import,2.6596,General,CIF,Origin,48,1981
Bahrain(1981),SITC Rev.1,BHD,Export,2.65959,General,FOB,Last Known Destination,48,1981
Bangladesh(1981),SITC Rev.2,BDT,Import,0.055384,General,CIF,Consignment,50,1981
Bangladesh(1981),SITC Rev.2,BDT,Export,0.0558,General,FOB,Last Known Destination,50,1981
Barbados(1981),SITC Rev.2,XCD,Import,0.4972,General,CIF,Origin,52,1981
Barbados(1981),SITC Rev.2,XCD,Export,0.4972,General,FOB,Last Known Destination,52,1981
Belgium-Luxembourg(1981),SITC Rev.2,BEF,Import,0.2704,Special,CIF,Origin,58,1981
Belgium-Luxembourg(1981),SITC Rev.2,BEF,Export,0.27009,Special,FOB,Last Known Destination,58,1981
Bermuda(1981),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1981
Bermuda(1981),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1981
Bolivia (Plurinational State of)(1981),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1981
Bolivia (Plurinational State of)(1981),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1981
Brazil(1981),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1981
Brazil(1981),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,76,1981
Brunei Darussalam(1981),SITC Rev.1,BND,Import,0.47311,Special,CIF,Origin,96,1981
Brunei Darussalam(1981),SITC Rev.1,BND,Export,0.47311,General,FOB,Last Known Destination,96,1981
Burkina Faso(1981),SITC Rev.2,XOF,Import,0.369134,Special,CIF,Origin,854,1981
Burkina Faso(1981),SITC Rev.2,XOF,Export,0.37369,Special,FOB,Last Known Destination,854,1981
Canada(1981),SITC Rev.2,CAD,Import,0.834196,General,FOB,Consignment,124,1981
Canada(1981),SITC Rev.2,CAD,Export,0.8354,General,FOB,Consignment,124,1981
Chile(1981),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,152,1981
Chile(1981),SITC Rev.1,USD,Export,1,Special,FOB,Sale,152,1981
"China, Hong Kong SAR(1981)",SITC Rev.2,HKD,Import,0.178293,General,CIF,Consignment,344,1981
"China, Hong Kong SAR(1981)",SITC Rev.2,HKD,Export,0.17793,General,FOB,Last Known Destination,344,1981
"China, Macao SAR(1981)",SITC Rev.2,MOP,Import,0.174524,General,CIF,Origin,446,1981
"China, Macao SAR(1981)",SITC Rev.2,MOP,Export,0.17084,General,FOB,Last Known Destination,446,1981
Colombia(1981),SITC Rev.2,USD,Import,1,Special,CIF,Purchase,170,1981
Colombia(1981),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,170,1981
Djibouti(1981),SITC Rev.2,DJF,Import,0.00563,General,CIF,Origin,262,1981
Djibouti(1981),SITC Rev.2,DJF,Export,NA,NULL,NULL,,262,1981
Egypt(1981),SITC Rev.2,EGP,Import,1.42857,Special,CIF,Consignment,818,1981
Egypt(1981),SITC Rev.2,EGP,Export,1.428568,Special,FOB,Last Known Destination,818,1981
Kenya(1981),SITC Rev.2,KES,Import,0.11179,General,CIF,Origin,404,1981
Kenya(1981),SITC Rev.2,KES,Export,0.1116,General,FOB,Last Known Destination,404,1981
Madagascar(1981),SITC Rev.2,MGF,Import,0.368,Special,CIF,Origin,450,1981
Madagascar(1981),SITC Rev.2,MGF,Export,0.368,Special,FOB,Last Known Destination,450,1981
Malawi(1981),SITC Rev.2,MWK,Import,1.11849,General,CIF,Origin,454,1981
Malawi(1981),SITC Rev.2,MWK,Export,1.10962,General,FOB,Last Known Destination,454,1981
Mauritius(1981),SITC Rev.2,MUR,Import,0.111325,General,CIF,Origin,480,1981
Mauritius(1981),SITC Rev.2,MUR,Export,0.10805,General,FOB,Last Known Destination,480,1981
Seychelles(1981),SITC Rev.2,SCR,Import,0.158638,Special,CIF,Origin,690,1981
Seychelles(1981),SITC Rev.2,SCR,Export,0.15732,Domestic,FOB,Last Known Destination,690,1981
Fmr Sudan(1981),SITC Rev.1,SDD,Import,2,General,CIF,Origin,736,1981
Fmr Sudan(1981),SITC Rev.1,SDD,Export,1.84362,General,FOB,Last Known Destination,736,1981
United Rep. of Tanzania(1981),SITC Rev.1,TZS,Import,0.120683,General,CIF,Origin,834,1981
United Rep. of Tanzania(1981),SITC Rev.1,TZS,Export,0.120572,General,FOB,Last Known Destination,834,1981
Costa Rica(1981),SITC Rev.1,USD,Import,1,Special,CIF,Origin,188,1981
Costa Rica(1981),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,188,1981
Côte d'Ivoire(1981),SITC Rev.2,XOF,Import,0.3663,General,CIF,Origin,384,1981
Côte d'Ivoire(1981),SITC Rev.2,XOF,Export,0.367,General,FOB,Last Known Destination,384,1981
Cyprus(1981),SITC Rev.2,CYP,Import,2.38106,General,CIF,Consignment,196,1981
Cyprus(1981),SITC Rev.2,CYP,Export,2.366249,General,FOB,Last Known Destination,196,1981
Czechoslovakia(1981),SITC Rev.1,CZK,Import,0.169902,General,FOB,Purchase,200,1981
Czechoslovakia(1981),SITC Rev.1,CZK,Export,0.16964,General,FOB,Sale,200,1981
Denmark(1981),SITC Rev.2,DKK,Import,0.140926,General,CIF,Origin,208,1981
Denmark(1981),SITC Rev.2,DKK,Export,0.140871,General,FOB,Last Known Destination,208,1981
Dominica(1981),SITC Rev.2,XCD,Import,0.37037,General,CIF,Origin,212,1981
Dominica(1981),SITC Rev.2,XCD,Export,0.37037,General,FOB,Last Known Destination,212,1981
Dominican Rep.(1981),SITC Rev.1,DOP,Import,1,General,FOB,Origin,214,1981
Dominican Rep.(1981),SITC Rev.1,DOP,Export,1,General,FOB,Last Known Destination,214,1981
Ghana(1981),SITC Rev.1,GHC,Import,0.36364,General,CIF,Origin,288,1981
