reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2011),HS2002,USD,Import,1,General,CIF,Origin,4,2011
Afghanistan(2011),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2011
Albania(2011),HS2007,ALL,Import,0.00992,Special,CIF,Origin,8,2011
Albania(2011),HS2007,ALL,Export,0.009909,Special,FOB,Last Known Destination,8,2011
Algeria(2011),HS2007,DZD,Import,0.013717,Special,CIF,Origin,12,2011
Algeria(2011),HS2007,DZD,Export,0.013715,Special,FOB,Last Known Destination,12,2011
Andorra(2011),HS2007,EUR,Import,1.389346,General,CIF,Origin,20,2011
Andorra(2011),HS2007,EUR,Export,1.394238,General,FOB,Last Known Destination,20,2011
Angola(2011),HS2007,USD,Import,1,Special,CIF,Origin,24,2011
Angola(2011),HS2007,USD,Export,1,Special,FOB,Last Known Destination,24,2011
Antigua and Barbuda(2011),HS1996,XCD,Import,0.37037,General,CIF,Origin,28,2011
Antigua and Barbuda(2011),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2011
Argentina(2011),HS2007,USD,Import,1,Special,CIF,Origin,32,2011
Argentina(2011),HS2007,USD,Export,1,Special,FOB,Last Known Destination,32,2011
Armenia(2011),HS2007,USD,Import,1,General,CIF,Origin,51,2011
Armenia(2011),HS2007,USD,Export,1,General,FOB,Last Known Destination,51,2011
Aruba(2011),HS2007,AWG,Import,0.558659,General,CIF,Origin,533,2011
Aruba(2011),HS2007,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2011
Australia(2011),HS2007,AUD,Import,1.032151,General,FOB,Origin,36,2011
Australia(2011),HS2007,AUD,Export,1.033067,General,FOB,Last Known Destination,36,2011
Austria(2011),HS2007,EUR,Import,1.391903,Special,CIF,Origin,40,2011
Austria(2011),HS2007,EUR,Export,1.392021,Special,FOB,Last Known Destination,40,2011
Azerbaijan(2011),HS2007,USD,Import,1,General,CIF,Origin,31,2011
Azerbaijan(2011),HS2007,USD,Export,1,General,FOB,Last Known Destination,31,2011
Bahamas(2011),HS2007,BSD,Import,1,General,CIF,Origin,44,2011
Bahamas(2011),HS2007,BSD,Export,1,General,FOB,Last Known Destination,44,2011
Bahrain(2011),HS2007,BHD,Import,2.65957,General,CIF,Origin,48,2011
Bahrain(2011),HS2007,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2011
Bangladesh(2011),HS2007,BDT,Import,0.013487,General,CIF,Consignment,50,2011
Bangladesh(2011),HS2007,BDT,Export,0.013489,General,FOB,Last Known Destination,50,2011
Barbados(2011),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2011
Barbados(2011),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2011
Belarus(2011),HS2007,USD,Import,1,General,CIF,Origin,112,2011
Belarus(2011),HS2007,USD,Export,1,General,FOB,Last Known Destination,112,2011
Belgium(2011),HS2007,EUR,Import,1.39162,Special,CIF,Origin/Consignment for Intra EU,56,2011
Belgium(2011),HS2007,EUR,Export,1.392001,Special,FOB,Last Known Destination,56,2011
Belize(2011),HS2007,BZD,Import,0.5,General,CIF,Origin,84,2011
Belize(2011),HS2007,BZD,Export,0.5,General,FOB,Last Known Destination,84,2011
Benin(2011),HS2002,XOF,Import,0.00212,General,CIF,Origin,204,2011
Benin(2011),HS2002,XOF,Export,0.002112,General,FOB,Last Known Destination,204,2011
Bermuda(2011),HS2007,USD,Import,1,General,CIF,Origin,60,2011
Bermuda(2011),HS2007,USD,Export,1,General,FOB,N/A,60,2011
Bhutan(2011),HS2007,BTN,Import,0.021602,General,CIF,Origin,64,2011
Bhutan(2011),HS2007,BTN,Export,0.021524,General,FOB,Last Known Destination,64,2011
Bolivia (Plurinational State of)(2011),HS2007,USD,Import,1,General,CIF,Origin,68,2011
Bolivia (Plurinational State of)(2011),HS2007,USD,Export,1,General,FOB,Last Known Destination,68,2011
Bosnia Herzegovina(2011),HS2007,EUR,Import,1.392064,Special,CIF,Origin,70,2011
Bosnia Herzegovina(2011),HS2007,EUR,Export,1.39158,Special,FOB,Last Known Destination,70,2011
Botswana(2011),HS2002,BWP,Import,0.146525,General,CIF,Origin,72,2011
Botswana(2011),HS2002,BWP,Export,0.147385,General,FOB,Last Known Destination,72,2011
Brazil(2011),HS2007,USD,Import,1,Special,CIF/FOB,Origin,76,2011
Brazil(2011),HS2007,USD,Export,1,Special,FOB,Last Known Destination,76,2011
Brunei Darussalam(2011),HS2007,BND,Import,0.795457,Special,CIF,Origin,96,2011
Brunei Darussalam(2011),HS2007,BND,Export,0.794561,Special,FOB,Last Known Destination,96,2011
Bulgaria(2011),HS2007,BGN,Import,0.711723,Special,CIF,Consignment,100,2011
Bulgaria(2011),HS2007,BGN,Export,0.711969,Special,FOB,Last Known Destination,100,2011
Burkina Faso(2011),HS2007,XAF,Import,0.002122,General,CIF,Origin,854,2011
Burkina Faso(2011),HS2007,XAF,Export,0.002122,General,FOB,Last Known Destination,854,2011
Burundi(2011),HS2002,BIF,Import,0.00079,General,CIF,Origin,108,2011
Burundi(2011),HS2002,BIF,Export,0.000789,General,FOB,Last Known Destination,108,2011
Cabo Verde(2011),HS2007,CVE,Import,0.012596,Special,CIF,Origin,132,2011
Cabo Verde(2011),HS2007,CVE,Export,0.012577,Special,FOB,Last Known Destination,132,2011
Cambodia(2011),HS2007,KHR,Import,0.000246,General,CIF,Origin,116,2011
Cambodia(2011),HS2007,KHR,Export,0.000246,General,FOB,Last Known Destination,116,2011
Cameroon(2011),HS2002,XAF,Import,0.00212,Special,CIF,Origin,120,2011
