reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(2006),HS2002,ALL,Import,0.010221,Special,CIF,Origin,8,2006
Albania(2006),HS2002,ALL,Export,0.01021,Special,FOB,Last Known Destination,8,2006
Algeria(2006),HS2002,USD,Import,1,Special,CIF,Origin,12,2006
Algeria(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,12,2006
Andorra(2006),HS2002,EUR,Import,1.256352,General,CIF,Origin,20,2006
Andorra(2006),HS2002,EUR,Export,1.249323,General,FOB,Last Known Destination,20,2006
Anguilla(2006),HS1992,XCD,Import,0.37037,General,CIF,Origin,660,2006
Anguilla(2006),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,660,2006
Antigua and Barbuda(2006),HS1996,USD,Import,1,General,CIF,Origin,28,2006
Antigua and Barbuda(2006),HS1996,USD,Export,1,General,FOB,Last Known Destination,28,2006
Argentina(2006),HS2002,USD,Import,1,Special,CIF,Origin,32,2006
Argentina(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,32,2006
Armenia(2006),HS2002,USD,Import,1,General,CIF,Origin,51,2006
Armenia(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,51,2006
Aruba(2006),HS2002,AWG,Import,0.558659,General,CIF,Origin,533,2006
Aruba(2006),HS2002,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2006
Australia(2006),HS2002,AUD,Import,0.753782,General,FOB,Origin,36,2006
Australia(2006),HS2002,AUD,Export,0.753802,General,FOB,Last Known Destination,36,2006
Austria(2006),HS2002,EUR,Import,1.256661,Special,CIF,Origin,40,2006
Austria(2006),HS2002,EUR,Export,1.256729,Special,FOB,Last Known Destination,40,2006
Azerbaijan(2006),HS2002,USD,Import,1,General,CIF,Origin,31,2006
Azerbaijan(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,31,2006
Bahamas(2006),HS2002,BSD,Import,1,General,CIF,Origin,44,2006
Bahamas(2006),HS2002,BSD,Export,1,General,FOB,Last Known Destination,44,2006
Bahrain(2006),HS2002,BHD,Import,2.65957,General,CIF,Origin,48,2006
Bahrain(2006),HS2002,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2006
Bangladesh(2006),HS2002,BDT,Import,0.014493,General,CIF,Consignment,50,2006
Bangladesh(2006),HS2002,BDT,Export,0.014495,General,FOB,Last Known Destination,50,2006
Barbados(2006),HS2002,USD,Import,1,General,CIF,Origin,52,2006
Barbados(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,52,2006
Belarus(2006),HS2002,USD,Import,1,General,CIF,Origin,112,2006
Belarus(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,112,2006
Belgium(2006),HS2002,EUR,Import,1.255982,Special,CIF,Origin/Consignment for Intra-EU,56,2006
Belgium(2006),HS2002,EUR,Export,1.256174,Special,FOB,Last Known Destination,56,2006
Belize(2006),HS2002,BZD,Import,0.5,General,CIF,Origin,84,2006
Belize(2006),HS2002,BZD,Export,0.5,General,FOB,Last Known Destination,84,2006
Benin(2006),HS2002,XOF,Import,0.001912,General,CIF,Origin,204,2006
Benin(2006),HS2002,XOF,Export,0.001924,General,FOB,Last Known Destination,204,2006
Bermuda(2006),HS2002,BMD,Import,1,General,FOB,Origin,60,2006
Bermuda(2006),HS2002,BMD,Export,1,General,FOB,N/A,60,2006
Bhutan(2006),HS2002,BTN,Import,0.022034,General,CIF,Origin,64,2006
Bhutan(2006),HS2002,BTN,Export,0.022048,General,FOB,Last Known Destination,64,2006
Bolivia (Plurinational State of)(2006),HS2002,USD,Import,1,Special,CIF,Origin,68,2006
Bolivia (Plurinational State of)(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,68,2006
Bosnia Herzegovina(2006),HS2002,USD,Import,1,Special,CIF,Origin,70,2006
Bosnia Herzegovina(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,70,2006
Botswana(2006),HS1996,BWP,Import,0.170555,General,CIF,Origin,72,2006
Botswana(2006),HS1996,BWP,Export,0.170573,General,FOB,Last Known Destination,72,2006
Brazil(2006),HS2002,USD,Import,1,Special,CIF,Origin,76,2006
Brazil(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,76,2006
Brunei Darussalam(2006),HS2002,BND,Import,0.63034,Special,CIF,Origin,96,2006
Brunei Darussalam(2006),HS2002,BND,Export,0.629216,Special,FOB,Last Known Destination,96,2006
Bulgaria(2006),HS2002,BGN,Import,0.64383,Special,CIF,Origin,100,2006
Bulgaria(2006),HS2002,BGN,Export,0.642802,Special,FOB,Last Known Destination,100,2006
Burundi(2006),HS2002,BIF,Import,9.73e-4,General,CIF,Origin,108,2006
Burundi(2006),HS2002,BIF,Export,9.65e-4,General,FOB,Last Known Destination,108,2006
Cabo Verde(2006),HS1996,CVE,Import,0.011315,Special,CIF,Origin,132,2006
Cabo Verde(2006),HS1996,CVE,Export,0.011259,Special,FOB,Last Known Destination,132,2006
Cambodia(2006),HS2002,KHR,Import,2.44e-4,General,CIF,Origin,116,2006
Cambodia(2006),HS2002,KHR,Export,2.44e-4,General,FOB,Last Known Destination,116,2006
Cameroon(2006),HS2002,XAF,Import,0.001919,Special,CIF,Origin,120,2006
Cameroon(2006),HS2002,XAF,Export,0.00192,Special,FOB,Last Known Destination,120,2006
Canada(2006),HS2002,CAD,Import,0.882211,General,FOB,Origin,124,2006
Canada(2006),HS2002,CAD,Export,0.881722,General,FOB,Last Known Destination,124,2006
Central African Rep.(2006),HS2002,XAF,Import,0.001914,Special,CIF,Origin,140,2006
Central African Rep.(2006),HS2002,XAF,Export,0.001923,Special,FOB,Last Known Destination,140,2006
Chile(2006),HS2002,USD,Import,1,General,CIF,Origin,152,2006
Chile(2006),HS2002,USD,Export,1,General,FOB,Consignment,152,2006
China(2006),HS2002,USD,Import,1,General,CIF,Origin,156,2006
China(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,156,2006
"China, Hong Kong SAR(2006)",HS2002,HKD,Import,0.128738,General,CIF,Consignment,344,2006
"China, Hong Kong SAR(2006)",HS2002,HKD,Export,0.128738,General,FOB,Last Known Destination,344,2006
"China, Macao SAR(2006)",HS2002,MOP,Import,0.124984,General,CIF,Origin,446,2006
"China, Macao SAR(2006)",HS2002,MOP,Export,0.124984,General,FOB,Last Known Destination,446,2006
Georgia(2006),HS2002,USD,Import,1,General,CIF,Purchase,268,2006
Georgia(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,268,2006
Kazakhstan(2006),HS2002,USD,Import,1,General,CIF,Origin,398,2006
Kazakhstan(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,398,2006
Kyrgyzstan(2006),HS2002,USD,Import,1,General,CIF,Consignment,417,2006
Kyrgyzstan(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,417,2006
Rep. of Moldova(2006),HS2002,USD,Import,1,General,CIF,Origin,498,2006
Rep. of Moldova(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,498,2006
Russian Federation(2006),HS2002,USD,Import,1,General,CIF,Origin,643,2006
Russian Federation(2006),HS2002,USD,Export,1,General,FOB,Last Known Destination,643,2006
Ukraine(2006),HS1996,USD,Import,1,General,CIF,Origin,804,2006
Ukraine(2006),HS1996,USD,Export,1,General,FOB,Last Known Destination,804,2006
Colombia(2006),HS2002,USD,Import,1,Special,CIF,Origin,170,2006
Colombia(2006),HS2002,USD,Export,1,Special,FOB,Last Known Destination,170,2006
Comoros(2006),HS1992,KMF,Import,0.002557,General,CIF,Consignment,174,2006
Comoros(2006),HS1992,KMF,Export,0.002557,General,FOB,Last Known Destination,174,2006
Egypt(2006),HS1992,USD,Import,1,Special,CIF,Consignment,818,2006
