reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2014),HS2002,USD,Import,1,General,CIF,Origin,4,2014
Afghanistan(2014),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2014
Albania(2014),HS2012,ALL,Import,0.00947,Special,CIF,Origin,8,2014
Albania(2014),HS2012,ALL,Export,0.009504,Special,FOB,Last Known Destination,8,2014
Algeria(2014),HS2012,DZD,Import,0.012421,Special,CIF,Origin,12,2014
Algeria(2014),HS2012,DZD,Export,0.012482,Special,FOB,Last Known Destination,12,2014
Andorra(2014),HS2012,EUR,Import,1.324821,General,CIF,Origin,20,2014
Andorra(2014),HS2012,EUR,Export,1.327686,General,FOB,Last Known Destination,20,2014
Angola(2014),HS2012,USD,Import,1,Special,CIF,N/A,24,2014
Angola(2014),HS2012,USD,Export,1,Special,FOB,N/A,24,2014
Antigua and Barbuda(2014),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2014
Antigua and Barbuda(2014),HS2007,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2014
Argentina(2014),HS2012,USD,Import,1,Special,CIF,Origin,32,2014
Argentina(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2014
Armenia(2014),HS2012,USD,Import,1,General,CIF,Origin,51,2014
Armenia(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,51,2014
Aruba(2014),HS2012,AWG,Import,0.558659,General,CIF,Origin,533,2014
Aruba(2014),HS2012,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2014
Australia(2014),HS2012,AUD,Import,0.90221,General,FOB,Origin,36,2014
Australia(2014),HS2012,AUD,Export,0.902131,General,FOB,Last Known Destination,36,2014
Austria(2014),HS2012,EUR,Import,1.328993,Special,CIF,Origin,40,2014
Austria(2014),HS2012,EUR,Export,1.328359,Special,FOB,Last Known Destination,40,2014
Azerbaijan(2014),HS2012,USD,Import,1,General,CIF,Origin,31,2014
Azerbaijan(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2014
Bahamas(2014),HS2012,USD,Import,1,General,CIF,Origin,44,2014
Bahamas(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,44,2014
Bahrain(2014),HS2012,USD,Import,1,General,CIF,Origin,48,2014
Bahrain(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,48,2014
Barbados(2014),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2014
Barbados(2014),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2014
Belarus(2014),HS2012,USD,Import,1,General,CIF,Origin,112,2014
Belarus(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,112,2014
Belgium(2014),HS2012,EUR,Import,1.328836,Special,CIF,Origin/Consignment for Intra EU,56,2014
Belgium(2014),HS2012,EUR,Export,1.329048,Special,FOB,Last Known Destination,56,2014
Belize(2014),HS2012,BZD,Import,0.5,General,CIF,Origin,84,2014
Belize(2014),HS2012,BZD,Export,0.5,General,FOB,Last Known Destination,84,2014
Benin(2014),HS2007,XOF,Import,0.00201,General,CIF,Origin,204,2014
Benin(2014),HS2007,XOF,Export,0.002044,General,FOB,Last Known Destination,204,2014
Bermuda(2014),HS2012,BMD,Import,1,General,CIF,Origin,60,2014
Bermuda(2014),HS2012,BMD,Export,1,General,FOB,Last Known Destination,60,2014
Bolivia (Plurinational State of)(2014),HS2012,USD,Import,1,General,CIF,Origin,68,2014
Bolivia (Plurinational State of)(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,68,2014
Bosnia Herzegovina(2014),HS2012,USD,Import,1,Special,CIF,Origin,70,2014
Bosnia Herzegovina(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,70,2014
Botswana(2014),HS2012,BWP,Import,0.111577,General,CIF,Origin,72,2014
Botswana(2014),HS2012,BWP,Export,0.111672,General,FOB,Last Known Destination,72,2014
Brazil(2014),HS2012,USD,Import,1,Special,CIF,Origin,76,2014
Brazil(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,76,2014
Brunei Darussalam(2014),HS2012,BND,Import,0.789977,Special,CIF,Origin,96,2014
Brunei Darussalam(2014),HS2012,BND,Export,0.784348,Special,FOB,Last Known Destination,96,2014
Bulgaria(2014),HS2012,BGN,Import,0.678238,Special,CIF,Consignment,100,2014
Bulgaria(2014),HS2012,BGN,Export,0.679388,Special,FOB,Last Known Destination,100,2014
Burkina Faso(2014),HS2007,XOF,Import,0.002025,General,CIF,Origin,854,2014
Burkina Faso(2014),HS2007,XOF,Export,0.002025,General,FOB,Last Known Destination,854,2014
Burundi(2014),HS2012,USD,Import,1,General,CIF,Origin,108,2014
Burundi(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,108,2014
Cabo Verde(2014),HS2012,CVE,Import,0.011968,Special,CIF,Origin,132,2014
Cabo Verde(2014),HS2012,CVE,Export,0.012002,Special,CIF,Last Known Destination,132,2014
Cambodia(2014),HS2012,USD,Import,1,General,CIF,Origin,116,2014
Cambodia(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,116,2014
Cameroon(2014),HS2012,XOF,Import,0.002019,Special,CIF,Origin,120,2014
Cameroon(2014),HS2012,XOF,Export,0.002018,Special,FOB,Last Known Destination,120,2014
Canada(2014),HS2012,CAD,Import,0.904219,General,FOB,Origin,124,2014
Canada(2014),HS2012,CAD,Export,0.904268,General,FOB,Last Known Destination,124,2014
Central African Rep.(2014),HS2007,XAF,Import,0.002016,General,CIF,Origin,140,2014
Central African Rep.(2014),HS2007,XAF,Export,0.002038,General,FOB,Last Known Destination,140,2014
Chile(2014),HS2012,USD,Import,1,General,CIF,Consignment,152,2014
Chile(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,152,2014
China(2014),HS2012,USD,Import,1,General,CIF,Origin,156,2014
China(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,156,2014
"China, Hong Kong SAR(2014)",HS2012,HKD,Import,0.128964,General,CIF,Consignment,344,2014
"China, Hong Kong SAR(2014)",HS2012,HKD,Export,0.128964,General,FOB,Last Known Destination,344,2014
"China, Macao SAR(2014)",HS2012,MOP,Import,0.125069,General,CIF,Origin,446,2014
"China, Macao SAR(2014)",HS2012,MOP,Export,0.125069,General,FOB,Last Known Destination,446,2014
Georgia(2014),HS2012,USD,Import,1,General,CIF,Consignment,268,2014
Georgia(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,268,2014
Kazakhstan(2014),HS2012,USD,Import,1,General,CIF,Origin,398,2014
Kazakhstan(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,398,2014
Kyrgyzstan(2014),HS2007,USD,Import,1,General,CIF,Origin,417,2014
Kyrgyzstan(2014),HS2007,USD,Export,1,General,FOB,Last Known Destination,417,2014
Rep. of Moldova(2014),HS2007,USD,Import,1,General,CIF,Origin,498,2014
Rep. of Moldova(2014),HS2007,USD,Export,1,General,FOB,Last Known Destination,498,2014
Russian Federation(2014),HS2012,USD,Import,1,General,CIF,Origin,643,2014
Russian Federation(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,643,2014
Ukraine(2014),HS2012,USD,Import,1,General,CIF,Origin,804,2014
Ukraine(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,804,2014
Colombia(2014),HS2012,USD,Import,1,Special,CIF,Origin,170,2014
Colombia(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,170,2014
Comoros(2014),HS2012,KMF,Import,0.00269,General,CIF,Consignment,174,2014
Comoros(2014),HS2012,KMF,Export,0.00269,General,FOB,Last Known Destination,174,2014
Egypt(2014),HS2012,EGP,Import,0.141312,General,CIF,Consignment,818,2014
Egypt(2014),HS2012,EGP,Export,0.141312,General,FOB,Last Known Destination,818,2014
Ethiopia(2014),HS2012,ETB,Import,0.05107,General,CIF,Origin,231,2014
Ethiopia(2014),HS2012,ETB,Export,0.05107,General,FOB,Last Known Destination,231,2014
Madagascar(2014),HS2012,MGA,Import,4.17e-4,General,CIF,Origin,450,2014
Madagascar(2014),HS2012,MGA,Export,4.17e-4,General,FOB,Last Known Destination,450,2014
Malawi(2014),HS2012,MWK,Import,0.002369,General,CIF,Origin,454,2014
Malawi(2014),HS2012,MWK,Export,0.002358,General,FOB,Last Known Destination,454,2014
Mauritius(2014),HS2012,MUR,Import,0.032596,General,CIF,Origin,480,2014
Mauritius(2014),HS2012,MUR,Export,0.032638,General,FOB,Last Known Destination,480,2014
Namibia(2014),HS2012,USD,Import,1,General,CIF,Origin,516,2014
Namibia(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,516,2014
Rwanda(2014),HS2012,RWF,Import,0.001469,General,CIF,Origin,646,2014
Rwanda(2014),HS2012,RWF,Export,0.001468,General,FOB,Last Known Destination,646,2014
Seychelles(2014),HS2007,USD,Import,1,General,CIF,Origin,690,2014
Seychelles(2014),HS2007,USD,Export,1,General,FOB,Last Known Destination,690,2014
Eswatini(2014),HS2012,SZL,Import,0.092143,General,CIF,Origin,748,2014
Eswatini(2014),HS2012,SZL,Export,0.092143,General,FOB,Last Known Destination,748,2014
United Rep. of Tanzania(2014),HS2012,TZS,Import,6.05e-4,General,CIF,Origin,834,2014
United Rep. of Tanzania(2014),HS2012,TZS,Export,6.05e-4,General,FOB,Last Known Destination,834,2014
Uganda(2014),HS2012,USD,Import,1,General,CIF,Origin,800,2014
Uganda(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,800,2014
Zambia(2014),HS2012,USD,Import,1,General,CIF,Origin,894,2014
Zambia(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,894,2014
Zimbabwe(2014),HS2012,USD,Import,1,General,CIF,Origin,716,2014
Zimbabwe(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,716,2014
Congo(2014),HS2012,CDF,Import,0.002025,General,CIF,Origin,178,2014
Congo(2014),HS2012,CDF,Export,0.002025,General,FOB,Last Known Destination,178,2014
Costa Rica(2014),HS2012,USD,Import,1,General,CIF,Origin,188,2014
Costa Rica(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,188,2014
Côte d'Ivoire(2014),HS2007,XOF,Import,0.002011,Special,CIF,Origin,384,2014
Côte d'Ivoire(2014),HS2007,XOF,Export,0.002029,Special,FOB,Last Known Destination,384,2014
Croatia(2014),HS2012,USD,Import,1,Special,CIF,Origin,191,2014
Croatia(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,191,2014
Cyprus(2014),HS2012,EUR,Import,1.329099,General,CIF,Origin/Consignment for Intra EU,196,2014
Cyprus(2014),HS2012,EUR,Export,1.333073,General,FOB,Last Known Destination,196,2014
Czechia(2014),HS2012,USD,Import,1,Special,CIF,Origin,203,2014
Czechia(2014),HS2012,USD,Export,1,Special,FOB,Last Known Destination,203,2014
Denmark(2014),HS2012,DKK,Import,0.178406,General,CIF,Origin/Consignment for Intra-EU,208,2014
Denmark(2014),HS2012,DKK,Export,0.178475,General,FOB,Last Known Destination,208,2014
Dominican Rep.(2014),HS2012,USD,Import,1,General,FOB,Origin,214,2014
Dominican Rep.(2014),HS2012,USD,Export,1,General,FOB,Last Known Destination,214,2014
Gambia(2014),HS2007,GMD,Import,0.023964,General,CIF,Origin,270,2014
Gambia(2014),HS2007,GMD,Export,0.024275,General,FOB,Last Known Destination,270,2014
Ghana(2014),HS2012,GHC,Import,0.342561,General,CIF,Origin,288,2014
Ghana(2014),HS2012,GHC,Export,0.343324,General,FOB,Last Known Destination,288,2014
Guinea(2014),HS2012,GNF,Import,1.43e-4,Special,CIF,Origin,324,2014
