reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2009),HS2002,USD,Import,1,General,CIF,Origin,4,2009
Afghanistan(2009),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2009
Albania(2009),HS2007,ALL,Import,0.010554,Special,CIF,Origin,8,2009
Albania(2009),HS2007,ALL,Export,0.010563,Special,FOB,Last Known Destination,8,2009
Algeria(2009),HS2007,USD,Import,1,Special,CIF,Origin,12,2009
Algeria(2009),HS2007,USD,Export,1,Special,FOB,Last Known Destination,12,2009
Andorra(2009),HS2007,EUR,Import,1.39638,General,CIF,Origin,20,2009
Andorra(2009),HS2007,EUR,Export,1.394405,General,FOB,Last Known Destination,20,2009
Angola(2009),HS2007,USD,Import,1,Special,CIF,Origin,24,2009
Angola(2009),HS2007,USD,Export,1,Special,FOB,Last Known Destination,24,2009
Antigua and Barbuda(2009),HS1996,XCD,Import,0.37037,General,CIF,Origin,28,2009
Antigua and Barbuda(2009),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2009
Argentina(2009),HS2007,USD,Import,1,Special,CIF,Origin,32,2009
Argentina(2009),HS2007,USD,Export,1,Special,FOB,Last Known Destination,32,2009
Armenia(2009),HS2007,USD,Import,1,General,CIF,Origin,51,2009
Armenia(2009),HS2007,USD,Export,1,General,FOB,Last Known Destination,51,2009
Aruba(2009),HS2007,AWG,Import,0.558659,General,CIF,Origin,533,2009
Aruba(2009),HS2007,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2009
Australia(2009),HS2007,AUD,Import,0.793037,General,FOB,Origin,36,2009
Australia(2009),HS2007,AUD,Export,0.785176,General,FOB,Last Known Destination,36,2009
Austria(2009),HS2007,EUR,Import,1.394502,Special,CIF,Origin,40,2009
Austria(2009),HS2007,EUR,Export,1.39524,Special,FOB,Last Known Destination,40,2009
Azerbaijan(2009),HS2007,USD,Import,1,General,CIF,Origin,31,2009
Azerbaijan(2009),HS2007,USD,Export,1,General,FOB,Last Known Destination,31,2009
Bahamas(2009),HS2007,BSD,Import,1,General,CIF,Origin,44,2009
Bahamas(2009),HS2007,BSD,Export,1,General,FOB,Last Known Destination,44,2009
Bahrain(2009),HS2007,BHD,Import,2.65957,General,CIF,Origin,48,2009
Bahrain(2009),HS2007,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2009
Bangladesh(2009),HS2007,BDT,Import,0.014484,General,CIF,Origin,50,2009
Bangladesh(2009),HS2007,BDT,Export,0.014485,General,FOB,Last Known Destination,50,2009
Barbados(2009),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2009
Barbados(2009),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2009
Belarus(2009),HS2007,USD,Import,1,General,CIF,Origin,112,2009
Belarus(2009),HS2007,USD,Export,1,General,FOB,Last Known Destination,112,2009
Belgium(2009),HS2007,EUR,Import,1.394321,Special,CIF,Origin/Consignment for Intra-EU,56,2009
Belgium(2009),HS2007,EUR,Export,1.394921,Special,FOB,Last Known Destination,56,2009
Belize(2009),HS2002,USD,Import,1,General,CIF,Origin,84,2009
Belize(2009),HS2002,USD,Export,1,General,FOB,Last Known Destination,84,2009
Benin(2009),HS2002,XOF,Import,0.002118,General,CIF,Origin,204,2009
Benin(2009),HS2002,XOF,Export,0.002135,General,FOB,Last Known Destination,204,2009
Bermuda(2009),HS2002,BMD,Import,1,General,CIF,Origin,60,2009
Bermuda(2009),HS2002,BMD,Export,1,General,FOB,N/A,60,2009
Bhutan(2009),HS2007,BTN,Import,0.020644,General,CIF,Origin,64,2009
Bhutan(2009),HS2007,BTN,Export,0.020667,General,FOB,Last Known Destination,64,2009
Bolivia (Plurinational State of)(2009),HS2007,USD,Import,1,Special,CIF,Origin,68,2009
Bolivia (Plurinational State of)(2009),HS2007,USD,Export,1,Special,FOB,Last Known Destination,68,2009
Bosnia Herzegovina(2009),HS2007,EUR,Import,1.32398,Special,CIF,Origin,70,2009
Bosnia Herzegovina(2009),HS2007,EUR,Export,1.398105,Special,FOB,Last Known Destination,70,2009
Botswana(2009),HS2002,BWP,Import,0.141019,General,CIF,Origin,72,2009
Botswana(2009),HS2002,BWP,Export,0.142121,General,FOB,Last Known Destination,72,2009
Brazil(2009),HS2007,USD,Import,1,Special,CIF,Origin,76,2009
Brazil(2009),HS2007,USD,Export,1,Special,FOB,Last Known Destination,76,2009
Brunei Darussalam(2009),HS2007,BND,Import,0.686067,Special,CIF,Origin,96,2009
Brunei Darussalam(2009),HS2007,BND,Export,0.687221,Special,FOB,Last Known Destination,96,2009
