reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(1998),HS1996,LEK,Import,0.00666,General,CIF,Origin,8,1998
Albania(1998),HS1996,LEK,Export,0.00667,General,FOB,Last Known Destination,8,1998
Algeria(1998),HS1996,USD,Import,1,Special,CIF,Origin,12,1998
Algeria(1998),HS1996,USD,Export,1,Special,FOB,Last Known Destination,12,1998
Andorra(1998),HS1996,ESP,Import,0.006694,General,CIF,Consignment,20,1998
Andorra(1998),HS1996,ESP,Export,0.00669,General,FOB,Last Known Destination,20,1998
Argentina(1998),HS1996,USD,Import,1,Special,CIF,Origin,32,1998
Argentina(1998),HS1996,USD,Export,1,Special,FOB,Last Known Destination,32,1998
Aruba(1998),SITC Rev.2,AWG,Import,0.56497,Special,CIF,Origin,533,1998
Aruba(1998),SITC Rev.2,AWG,Export,0.56497,Special,FOB,Last Known Destination,533,1998
Australia(1998),HS1996,AUD,Import,0.628049,General,FOB,Origin,36,1998
Australia(1998),HS1996,AUD,Export,0.62817,General,FOB,Last Known Destination,36,1998
Austria(1998),HS1996,ATS,Import,0.080978,Special,CIF,Purchase,40,1998
Austria(1998),HS1996,ATS,Export,0.08098,Special,FOB,Last Known Destination,40,1998
Azerbaijan(1998),HS1992,USD,Import,1,General,CIF,Origin,31,1998
Azerbaijan(1998),HS1992,USD,Export,1,General,FOB,Last Known Destination,31,1998
Bahamas(1998),HS1996,BSD,Import,1,General,CIF,Consignment,44,1998
Bahamas(1998),HS1996,BSD,Export,1,General,FOB,Last Known Destination,44,1998
Bangladesh(1998),HS1992,BDT,Import,0.022014,General,CIF,Origin,50,1998
Bangladesh(1998),HS1992,BDT,Export,0.022043,General,FOB,Last Known Destination,50,1998
Barbados(1998),HS1992,XCD,Import,0.5,General,CIF,Origin,52,1998
Barbados(1998),HS1992,XCD,Export,0.5,General,FOB,Last Known Destination,52,1998
Belarus(1998),HS1996,USD,Import,1,General,CIF,Origin,112,1998
Belarus(1998),HS1996,USD,Export,1,General,FOB,Last Known Destination,112,1998
Belgium-Luxembourg(1998),HS1996,BEF,Import,0.027587,Special,CIF,Origin,58,1998
Belgium-Luxembourg(1998),HS1996,BEF,Export,0.02757,Special,FOB,Last Known Destination,58,1998
Belize(1998),HS1996,XCD,Import,0.37037,General,CIF,Origin,84,1998
Belize(1998),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,84,1998
Benin(1998),HS1996,XOF,Import,0.001694,General,CIF,Origin,204,1998
Benin(1998),HS1996,XOF,Export,0.00169,General,FOB,Last Known Destination,204,1998
Bhutan(1998),HS1992,BTN,Import,0.024394,General,CIF,Origin,64,1998
Bhutan(1998),HS1992,BTN,Export,0.02434,General,FOB,Last Known Destination,64,1998
Bolivia (Plurinational State of)(1998),HS1996,USD,Import,1,Special,CIF,Origin,68,1998
Bolivia (Plurinational State of)(1998),HS1996,USD,Export,1,Special,FOB,Last Known Destination,68,1998
Brazil(1998),HS1996,USD,Import,1,Special,CIF,Purchase,76,1998
Brazil(1998),HS1996,USD,Export,1,Special,FOB,Last Known Destination,76,1998
Brunei Darussalam(1998),HS1992,BND,Import,0.669999,General,CIF,Origin,96,1998
Brunei Darussalam(1998),HS1992,BND,Export,0.669999,General,FOB,Last Known Destination,96,1998
Bulgaria(1998),HS1996,EUR,Import,1.12109,Special,CIF,Origin,100,1998
Bulgaria(1998),HS1996,EUR,Export,1.12109,Special,FOB,Last Known Destination,100,1998
Burkina Faso(1998),HS1992,XOF,Import,0.0017,General,CIF,Origin,854,1998
Burkina Faso(1998),HS1992,XOF,Export,0.001675,General,FOB,Last Known Destination,854,1998
Burundi(1998),HS1992,BIF,Import,0.002244,General,CIF,Consignment,108,1998
