reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1975),SITC Rev.1,USD,Import,1,General,CIF,Origin,4,1975
Afghanistan(1975),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,4,1975
Algeria(1975),SITC Rev.1,DZD,Import,0.252517,Special,CIF,Origin,12,1975
Algeria(1975),SITC Rev.1,DZD,Export,0.25311,Special,FOB,Consignment,12,1975
Antigua and Barbuda(1975),SITC Rev.1,XCD,Import,0.46288,Special,CIF,Origin,28,1975
Antigua and Barbuda(1975),SITC Rev.1,XCD,Export,0.462878,General,FOB,Last Known Destination,28,1975
Argentina(1975),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1975
Argentina(1975),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1975
Australia(1975),SITC Rev.1,AUD,Import,1.30874,General,FOB,Origin,36,1975
Australia(1975),SITC Rev.1,AUD,Export,1.30987,General,FOB,Last Known Destination,36,1975
Austria(1975),SITC Rev.1,ATS,Import,0.57488,Special,CIF,Origin,40,1975
Austria(1975),SITC Rev.1,ATS,Export,0.57441,Special,FOB,Last Known Destination,40,1975
Bahamas(1975),SITC Rev.1,BSD,Import,1,General,CIF,Origin,44,1975
Bahamas(1975),SITC Rev.1,BSD,Export,1,General,FOB,Last Known Destination,44,1975
Bahrain(1975),SITC Rev.1,BHD,Import,2.5284,Special,CIF,Origin,48,1975
Bahrain(1975),SITC Rev.1,BHD,Export,2.5284,Special,FOB,Last Known Destination,48,1975
Barbados(1975),SITC Rev.1,XCD,Import,0.4949,General,CIF,Origin,52,1975
Barbados(1975),SITC Rev.1,XCD,Export,0.49221,General,FOB,Last Known Destination,52,1975
Belgium-Luxembourg(1975),SITC Rev.1,BEF,Import,0.27206,Special,CIF,Origin,58,1975
Belgium-Luxembourg(1975),SITC Rev.1,BEF,Export,0.273,Special,FOB,Last Known Destination,58,1975
Belize(1975),SITC Rev.1,BZD,Import,0.55595,General,CIF,Origin,84,1975
Belize(1975),SITC Rev.1,BZD,Export,0.555952,General,FOB,Last Known Destination,84,1975
Bermuda(1975),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1975
Bermuda(1975),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1975
