reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(2004),HS2002,ALL,Import,0.00978,Special,CIF,Origin,8,2004
Albania(2004),HS2002,ALL,Export,0.009745,Special,FOB,Last Known Destination,8,2004
Algeria(2004),HS2002,DZD,Import,0.013875,Special,CIF,Origin,12,2004
Algeria(2004),HS2002,DZD,Export,0.013875,Special,FOB,Last Known Destination,12,2004
Andorra(2004),HS2002,EUR,Import,1.248401,General,CIF,Origin,20,2004
Andorra(2004),HS2002,EUR,Export,1.248246,General,FOB,Last Known Destination,20,2004
Anguilla(2004),HS1992,XCD,Import,0.37037,General,CIF,Origin,660,2004
Anguilla(2004),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,660,2004
Argentina(2004),HS2002,USD,Import,1,Special,CIF,Origin,32,2004
Argentina(2004),HS2002,USD,Export,1,Special,FOB,Last Known Destination,32,2004
Armenia(2004),HS2002,USD,Import,1,General,CIF,Origin,51,2004
Armenia(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,51,2004
Aruba(2004),HS2002,AWG,Import,0.558659,General,CIF,Origin,533,2004
Aruba(2004),HS2002,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2004
Australia(2004),HS2002,AUD,Import,0.735352,General,FOB,Origin,36,2004
Australia(2004),HS2002,AUD,Export,0.735011,General,FOB,Last Known Destination,36,2004
Austria(2004),HS2002,EUR,Import,1.244245,Special,CIF,Origin,40,2004
Austria(2004),HS2002,EUR,Export,1.243443,Special,FOB,Last Known Destination,40,2004
Azerbaijan(2004),HS2002,USD,Import,1,General,CIF,Origin,31,2004
Azerbaijan(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,31,2004
Bahamas(2004),HS2002,BSD,Import,1,General,CIF,Origin,44,2004
Bahamas(2004),HS2002,BSD,Export,1,General,FOB,Last Known Destination,44,2004
Bahrain(2004),HS2002,BHD,Import,2.65957,General,CIF,Origin,48,2004
Bahrain(2004),HS2002,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2004
Bangladesh(2004),HS2002,BDT,Import,0.016803,General,CIF,Consignment,50,2004
Bangladesh(2004),HS2002,BDT,Export,0.016794,General,FOB,Last Known Destination,50,2004
Barbados(2004),HS1996,BBD,Import,0.5,General,CIF,Origin,52,2004
Barbados(2004),HS1996,BBD,Export,0.5,General,FOB,Last Known Destination,52,2004
Belarus(2004),HS2002,USD,Import,1,General,CIF,Origin,112,2004
Belarus(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,112,2004
Belgium(2004),HS2002,EUR,Import,1.243832,General,CIF,Origin/Consignment for Intra-EU,56,2004
Belgium(2004),HS2002,EUR,Export,1.243632,General,FOB,Last Known Destination,56,2004
Belize(2004),HS1996,USD,Import,1,General,CIF,Origin,84,2004
Belize(2004),HS1996,USD,Export,1,General,FOB,Last Known Destination,84,2004
Benin(2004),HS1996,XAF,Import,0.001898,General,CIF,Origin,204,2004
Benin(2004),HS1996,XAF,Export,0.001879,General,FOB,Last Known Destination,204,2004
Bolivia (Plurinational State of)(2004),HS2002,USD,Import,1,Special,CIF,Origin,68,2004
Bolivia (Plurinational State of)(2004),HS2002,USD,Export,1,Special,FOB,Last Known Destination,68,2004
Bosnia Herzegovina(2004),HS2002,USD,Import,1,Special,CIF,Origin,70,2004
Bosnia Herzegovina(2004),HS2002,USD,Export,1,Special,FOB,Last Known Destination,70,2004
Botswana(2004),HS1996,BWP,Import,0.213362,Special,CIF,Origin,72,2004
Botswana(2004),HS1996,BWP,Export,0.213242,Special,FOB,Last Known Destination,72,2004
Brazil(2004),HS2002,USD,Import,1,Special,CIF,Origin,76,2004
Brazil(2004),HS2002,USD,Export,1,Special,FOB,Last Known Destination,76,2004
Brunei Darussalam(2004),HS2002,BND,Import,0.591632,General,CIF,N/A,96,2004
Brunei Darussalam(2004),HS2002,BND,Export,0.592,General,FOB,N/A,96,2004
Bulgaria(2004),HS2002,BGN,Import,0.636595,Special,CIF,Origin,100,2004
Bulgaria(2004),HS2002,BGN,Export,0.635913,Special,FOB,Last Known Destination,100,2004
Burkina Faso(2004),HS2002,XAF,Import,0.001897,General,CIF,Origin,854,2004
Burkina Faso(2004),HS2002,XAF,Export,0.001895,General,FOB,Consumption,854,2004
Burundi(2004),HS1996,BIF,Import,9.08e-4,General,CIF,Origin,108,2004
Burundi(2004),HS1996,BIF,Export,9.07e-4,General,FOB,Last Known Destination,108,2004
Cabo Verde(2004),HS1996,CVE,Import,0.01129,Special,CIF,Origin,132,2004
Cabo Verde(2004),HS1996,CVE,Export,0.011285,Special,FOB,Last Known Destination,132,2004
Cambodia(2004),HS2002,KHR,Import,2.49e-4,General,CIF,Origin,116,2004
Cambodia(2004),HS2002,KHR,Export,2.49e-4,General,Other,Last Known Destination,116,2004
Cameroon(2004),HS1996,XOF,Import,0.001896,Special,CIF,Origin,120,2004
Cameroon(2004),HS1996,XOF,Export,0.001896,Special,FOB,Last Known Destination,120,2004
Canada(2004),HS2002,CAD,Import,0.769557,General,FOB,Origin,124,2004
Canada(2004),HS2002,CAD,Export,0.769449,General,FOB,Last Known Destination,124,2004
Central African Rep.(2004),HS1992,XAF,Import,0.001903,Special,CIF,Origin,140,2004
Central African Rep.(2004),HS1992,XAF,Export,0.001895,Special,FOB,Last Known Destination,140,2004
Chile(2004),HS2002,USD,Import,1,General,CIF,Origin,152,2004
Chile(2004),HS2002,USD,Export,1,General,FOB,Consignment,152,2004
China(2004),HS2002,USD,Import,1,General,CIF,Origin,156,2004
China(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,156,2004
"China, Hong Kong SAR(2004)",HS2002,HKD,Import,0.1284,General,CIF,Consignment,344,2004
"China, Hong Kong SAR(2004)",HS2002,HKD,Export,0.1284,General,FOB,Last Known Destination,344,2004
"China, Macao SAR(2004)",HS2002,MOP,Import,0.124642,General,CIF,Origin,446,2004
"China, Macao SAR(2004)",HS2002,MOP,Export,0.124642,General,FOB,Last Known Destination,446,2004
Georgia(2004),HS1996,USD,Import,1,General,CIF,Purchase,268,2004
Georgia(2004),HS1996,USD,Export,1,General,FOB,Last Known Destination,268,2004
Kazakhstan(2004),HS2002,USD,Import,1,General,CIF,Origin,398,2004
Kazakhstan(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,398,2004
Kyrgyzstan(2004),HS2002,USD,Import,1,General,CIF,Consignment,417,2004
Kyrgyzstan(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,417,2004
Rep. of Moldova(2004),HS2002,USD,Import,1,General,CIF,Origin,498,2004
Rep. of Moldova(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,498,2004
Russian Federation(2004),HS2002,USD,Import,1,General,CIF,Origin,643,2004
Russian Federation(2004),HS2002,USD,Export,1,General,FOB,Last Known Destination,643,2004
Ukraine(2004),HS1996,USD,Import,1,General,CIF,Origin,804,2004
Ukraine(2004),HS1996,USD,Export,1,General,FOB,Last Known Destination,804,2004
Colombia(2004),HS2002,USD,Import,1,Special,CIF,Origin,170,2004
Colombia(2004),HS2002,USD,Export,1,Special,FOB,Last Known Destination,170,2004
Comoros(2004),HS1992,KMF,Import,0.002531,General,CIF,Consignment,174,2004
Comoros(2004),HS1992,KMF,Export,0.00253,General,FOB,Last Known Destination,174,2004
Egypt(2004),HS1992,USD,Import,1,Special,CIF,Consignment,818,2004
Egypt(2004),HS1992,USD,Export,1,Special,FOB,Last Known Destination,818,2004
Ethiopia(2004),HS2002,ETB,Import,0.115796,General,CIF,Origin,231,2004
Ethiopia(2004),HS2002,ETB,Export,0.115806,General,FOB,Last Known Destination,231,2004
Kenya(2004),HS2002,KES,Import,0.012618,General,CIF,Origin,404,2004
Kenya(2004),HS2002,KES,Export,0.012624,General,FOB,Last Known Destination,404,2004
Madagascar(2004),HS2002,MGA,Import,5.15e-4,General,CIF,Origin,450,2004
Madagascar(2004),HS2002,MGA,Export,5.1e-4,General,FOB,Consumption,450,2004
Malawi(2004),HS2002,MWK,Import,0.009182,General,CIF,Origin,454,2004
Malawi(2004),HS2002,MWK,Export,0.009182,General,FOB,Last Known Destination,454,2004
Mauritius(2004),HS2002,MUR,Import,0.036279,General,CIF,Origin,480,2004
Mauritius(2004),HS2002,MUR,Export,0.036305,General,FOB,Last Known Destination,480,2004
Namibia(2004),HS2002,"NAD",Import,0.155602,General,CIF,Origin,516,2004
Namibia(2004),HS2002,"NAD",Export,0.155304,General,FOB,Last Known Destination,516,2004
Rwanda(2004),HS1996,RWF,Import,0.00174,General,CIF,Origin,646,2004
Rwanda(2004),HS1996,RWF,Export,0.001739,General,FOB,Last Known Destination,646,2004
Seychelles(2004),HS1992,SCR,Import,0.181804,General,CIF,Origin,690,2004
Seychelles(2004),HS1992,SCR,Export,0.181805,General,FOB,Last Known Destination,690,2004
Fmr Sudan(2004),HS1996,SDD,Import,0.387774,General,CIF,Origin,736,2004
Fmr Sudan(2004),HS1996,SDD,Export,0.387774,General,FOB,Last Known Destination,736,2004
Eswatini(2004),HS1996,SZL,Import,0.155771,General,CIF,Origin,748,2004
Eswatini(2004),HS1996,SZL,Export,0.155841,General,FOB,Last Known Destination,748,2004
United Rep. of Tanzania(2004),HS1996,USD,Import,1,General,CIF,Origin,834,2004
