reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2008),HS2002,USD,Import,1,General,CIF,Origin,4,2008
Afghanistan(2008),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2008
Albania(2008),HS2002,ALL,Import,0.011936,Special,CIF,Origin,8,2008
Albania(2008),HS2002,ALL,Export,0.012036,Special,FOB,Last Known Destination,8,2008
Algeria(2008),HS2007,USD,Import,1,Special,CIF,Origin,12,2008
Algeria(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,12,2008
Andorra(2008),HS2007,EUR,Import,1.469926,General,CIF,Origin,20,2008
Andorra(2008),HS2007,EUR,Export,1.477121,General,FOB,Last Known Destination,20,2008
Anguilla(2008),HS1992,XCD,Import,0.37037,General,CIF,Origin,660,2008
Anguilla(2008),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,660,2008
Argentina(2008),HS2007,USD,Import,1,Special,CIF,Origin,32,2008
Argentina(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,32,2008
Armenia(2008),HS2007,USD,Import,1,General,CIF,Origin,51,2008
Armenia(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,51,2008
Aruba(2008),HS2002,AWG,Import,0.558659,General,CIF,Origin,533,2008
Aruba(2008),HS2002,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2008
Australia(2008),HS2007,AUD,Import,0.847942,General,FOB,Origin,36,2008
Australia(2008),HS2007,AUD,Export,0.841964,General,FOB,Last Known Destination,36,2008
Austria(2008),HS2007,EUR,Import,1.469219,Special,CIF,Origin,40,2008
Austria(2008),HS2007,EUR,Export,1.467896,Special,FOB,Last Known Destination,40,2008
Azerbaijan(2008),HS2007,USD,Import,1,General,CIF,Origin,31,2008
Azerbaijan(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,31,2008
Bahamas(2008),HS2002,BSD,Import,1,General,CIF,Origin,44,2008
Bahamas(2008),HS2002,BSD,Export,1,General,FOB,Last Known Destination,44,2008
Bahrain(2008),HS2002,BHD,Import,2.65957,General,CIF,Origin,48,2008
Bahrain(2008),HS2002,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2008
Bangladesh(2008),HS2007,BDT,Import,0.014579,General,CIF,Origin,50,2008
Bangladesh(2008),HS2007,BDT,Export,0.014579,General,FOB,Consignment,50,2008
Barbados(2008),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2008
Barbados(2008),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2008
Belarus(2008),HS2007,USD,Import,1,General,CIF,Origin,112,2008
Belarus(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,112,2008
Belgium(2008),HS2007,EUR,Import,1.474528,Special,CIF,Origin/Consignment for Intra-EU,56,2008
Belgium(2008),HS2007,EUR,Export,1.475939,Special,FOB,Last Known Destination,56,2008
Belize(2008),HS2002,BZD,Import,0.5,General,CIF,Origin,84,2008
Belize(2008),HS2002,BZD,Export,0.5,General,FOB,Last Known Destination,84,2008
Benin(2008),HS2002,XOF,Import,0.002234,General,CIF,Origin,204,2008
Benin(2008),HS2002,XOF,Export,0.002237,General,FOB,Last Known Destination,204,2008
Bermuda(2008),HS2002,BMD,Import,1,General,FOB,Origin,60,2008
Bermuda(2008),HS2002,BMD,Export,1,General,FOB,N/A,60,2008
Bhutan(2008),HS2007,BTN,Import,0.02317,General,CIF,Origin,64,2008
Bhutan(2008),HS2007,BTN,Export,0.023081,General,FOB,Last Known Destination,64,2008
Bolivia (Plurinational State of)(2008),HS2007,USD,Import,1,Special,CIF,Origin,68,2008
Bolivia (Plurinational State of)(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,68,2008
Bosnia Herzegovina(2008),HS2007,USD,Import,1,Special,CIF,Origin,70,2008
Bosnia Herzegovina(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,70,2008
Botswana(2008),HS1996,BWP,Import,0.147053,Special,CIF,Origin,72,2008
Botswana(2008),HS1996,BWP,Export,0.150532,Special,FOB,Last Known Destination,72,2008
Brazil(2008),HS2007,USD,Import,1,Special,CIF/FOB,Origin,76,2008
Brazil(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,76,2008
Brunei Darussalam(2008),HS2002,BND,Import,0.705073,Special,CIF,Origin,96,2008
Brunei Darussalam(2008),HS2002,BND,Export,0.707337,Special,FOB,Last Known Destination,96,2008
Bulgaria(2008),HS2007,BGN,Import,0.754253,Special,CIF,Origin/Consignment for Intra-EU,100,2008
Bulgaria(2008),HS2007,BGN,Export,0.756168,Special,FOB,Last Known Destination,100,2008
Burkina Faso(2008),HS2002,XAF,Import,0.002242,General,CIF,Origin,854,2008
Burkina Faso(2008),HS2002,XAF,Export,0.002242,General,FOB,Last Known Destination,854,2008
Burundi(2008),HS2002,BIF,Import,0.000844,General,CIF,Origin,108,2008
Burundi(2008),HS2002,BIF,Export,0.000844,General,FOB,Last Known Destination,108,2008
Cabo Verde(2008),HS2007,CVE,Import,0.013252,Special,CIF,Origin,132,2008
Cabo Verde(2008),HS2007,CVE,Export,0,Special,FOB,Last Known Destination,132,2008
Cambodia(2008),HS2007,USD,Import,1,General,CIF,Origin,116,2008
Cambodia(2008),HS2007,USD,Export,1,General,Other,Last Known Destination,116,2008
Cameroon(2008),HS2002,XAF,Import,0.002223,Special,CIF,Origin,120,2008
Cameroon(2008),HS2002,XAF,Export,0.002222,Special,FOB,Last Known Destination,120,2008
Canada(2008),HS2007,CAD,Import,0.941933,General,FOB,Origin,124,2008
Canada(2008),HS2007,CAD,Export,0.944009,General,FOB,Last Known Destination,124,2008
Central African Rep.(2008),HS2002,XAF,Import,0.002221,Special,CIF,Origin,140,2008
Central African Rep.(2008),HS2002,XAF,Export,0.002228,Special,FOB,Last Known Destination,140,2008
Chile(2008),HS2007,USD,Import,1,General,CIF/FOB,Consignment,152,2008
Chile(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,152,2008
China(2008),HS2007,USD,Import,1,General,CIF,Origin,156,2008
China(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,156,2008
"China, Hong Kong SAR(2008)",HS2007,HKD,Import,0.128423,General,CIF,Consignment,344,2008
"China, Hong Kong SAR(2008)",HS2007,HKD,Export,0.128423,General,FOB,Last Known Destination,344,2008
"China, Macao SAR(2008)",HS2007,MOP,Import,0.124687,General,CIF,Origin,446,2008
"China, Macao SAR(2008)",HS2007,MOP,Export,0.124687,General,FOB,Last Known Destination,446,2008
Georgia(2008),HS2002,USD,Import,1,General,CIF,Purchase,268,2008
Georgia(2008),HS2002,USD,Export,1,General,FOB,Last Known Destination,268,2008
Kazakhstan(2008),HS2002,USD,Import,1,General,CIF,Origin,398,2008
Kazakhstan(2008),HS2002,USD,Export,1,General,FOB,Last Known Destination,398,2008
Kyrgyzstan(2008),HS2007,USD,Import,1,General,CIF,Consignment,417,2008
Kyrgyzstan(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,417,2008
Rep. of Moldova(2008),HS2002,USD,Import,1,General,CIF,Origin,498,2008
Rep. of Moldova(2008),HS2002,USD,Export,1,General,FOB,Last Known Destination,498,2008
Russian Federation(2008),HS2007,USD,Import,1,General,CIF,Origin,643,2008
Russian Federation(2008),HS2007,USD,Export,1,General,FOB,Last Known Destination,643,2008
Ukraine(2008),HS2002,USD,Import,1,General,CIF,Origin,804,2008
Ukraine(2008),HS2002,USD,Export,1,General,FOB,Last Known Destination,804,2008
Colombia(2008),HS2007,USD,Import,1,Special,CIF,Origin,170,2008
Colombia(2008),HS2007,USD,Export,1,Special,FOB,Last Known Destination,170,2008
Comoros(2008),HS2002,KMF,Import,0.00296,General,CIF,Consignment,174,2008
Comoros(2008),HS2002,KMF,Export,0.002962,General,FOB,Last Known Destination,174,2008
Egypt(2008),HS2007,EGP,Import,0.184118,General,CIF,Origin,818,2008
Egypt(2008),HS2007,EGP,Export,0.184118,General,FOB,Last Known Destination,818,2008
Ethiopia(2008),HS2007,ETB,Import,0.104065,General,CIF,Origin,231,2008
