reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(2020),HS2017,ALL,Import,0.009256,Special,CIF,Origin,8,2020
Albania(2020),HS2017,ALL,Export,0.009247,Special,FOB,Last Known Destination,8,2020
Argentina(2020),HS2017,USD,Import,1,Special,CIF,Origin,32,2020
Argentina(2020),HS2017,USD,Export,1,Special,FOB,Last Known Destination,32,2020
Armenia(2020),HS2017,USD,Import,1,General,CIF,Origin,51,2020
Armenia(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,51,2020
Aruba(2020),HS2012,AWG,Import,0.558659,General,CIF,Origin,533,2020
Aruba(2020),HS2012,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2020
Australia(2020),HS2017,AUD,Import,0.692028,General,FOB,Origin,36,2020
Australia(2020),HS2017,AUD,Export,0.690051,General,FOB,Last Known Destination,36,2020
Austria(2020),HS2017,EUR,Import,1.141467,Special,CIF,Origin,40,2020
Austria(2020),HS2017,EUR,Export,1.142686,Special,FOB,Last Known Destination,40,2020
Azerbaijan(2020),HS2017,USD,Import,1,General,CIF,Origin,31,2020
Azerbaijan(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,31,2020
Barbados(2020),HS2017,BBD,Import,0.5,General,CIF,Origin,52,2020
Barbados(2020),HS2017,BBD,Export,0.5,General,FOB,Last Known Destination,52,2020
Belarus(2020),HS2017,USD,Import,1,General,CIF,Origin,112,2020
Belarus(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,112,2020
Belgium(2020),HS2017,EUR,Import,1.142196,Special,CIF,Origin/Consignment for Intra EU,56,2020
Belgium(2020),HS2017,EUR,Export,1.142196,Special,FOB,Last Known Destination,56,2020
Belize(2020),HS2017,BZD,Import,0.5,General,CIF,Origin,84,2020
Belize(2020),HS2017,BZD,Export,0.5,General,FOB,Last Known Destination,84,2020
Benin(2020),HS2017,XOF,Import,0.001741,General,CIF,Origin,204,2020
Benin(2020),HS2017,XOF,Export,0.001741,General,FOB,Last Known Destination,204,2020
Bermuda(2020),HS2017,USD,Import,1,General,FOB,Origin,60,2020
Bermuda(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,60,2020
Bolivia (Plurinational State of)(2020),HS2017,USD,Import,1,General,CIF,Origin,68,2020
Bolivia (Plurinational State of)(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,68,2020
Bosnia Herzegovina(2020),HS2017,USD,Import,1,Special,CIF,Origin,70,2020
Bosnia Herzegovina(2020),HS2017,USD,Export,1,Special,FOB,Last Known Destination,70,2020
Botswana(2020),HS2017,BWP,Import,0.087762,General,CIF,Origin,72,2020
Botswana(2020),HS2017,BWP,Export,0.088334,General,FOB,Last Known Destination,72,2020
Brazil(2020),HS2017,USD,Import,1,Special,CIF,Origin,76,2020
Brazil(2020),HS2017,USD,Export,1,Special,FOB,Last Known Destination,76,2020
Brunei Darussalam(2020),HS2017,USD,Import,1,Special,CIF,Origin,96,2020
Brunei Darussalam(2020),HS2017,USD,Export,1,Special,FOB,Last Known Destination,96,2020
Bulgaria(2020),HS2017,BGL,Import,0.582637,Special,CIF,Consignment,100,2020
Bulgaria(2020),HS2017,BGL,Export,0.582637,Special,FOB,Last Known Destination,100,2020
Burkina Faso(2020),HS2017,USD,Import,1,General,CIF,Origin,854,2020
Burkina Faso(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,854,2020
Burundi(2020),HS2017,USD,Import,1,General,CIF,Origin,108,2020
Burundi(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,108,2020
Cabo Verde(2020),HS2017,CVE,Import,0.010331,Special,CIF,Origin,132,2020
Cabo Verde(2020),HS2017,CVE,Export,0.010331,Special,FOB,Last Known Destination,132,2020
Cambodia(2020),HS2017,USD,Import,1,General,CIF,Origin,116,2020
Cambodia(2020),HS2017,USD,Export,1,General,FOB,Last Known Destination,116,2020
