reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2017),HS2002,USD,Import,1,General,CIF,Origin,4,2017
Afghanistan(2017),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2017
Albania(2017),HS2017,ALL,Import,0.008454,Special,CIF,Origin,8,2017
Albania(2017),HS2017,ALL,Export,0.00843,Special,FOB,Last Known Destination,8,2017
Algeria(2017),HS2017,USD,Import,1,Special,CIF,Origin,12,2017
Algeria(2017),HS2017,USD,Export,1,Special,CIF,Last Known Destination,12,2017
Andorra(2017),HS2017,EUR,Import,1.132217,General,CIF,Origin,20,2017
Andorra(2017),HS2017,EUR,Export,1.130681,General,FOB,Last Known Destination,20,2017
Angola(2017),HS2012,USD,Import,1,Special,CIF,Origin,24,2017
Angola(2017),HS2012,USD,Export,1,Special,FOB,Last Known Destination,24,2017
Antigua and Barbuda(2017),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2017
Antigua and Barbuda(2017),HS2007,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2017
Argentina(2017),HS2012,USD,Import,1,Special,CIF,Origin,32,2017
Argentina(2017),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2017
Armenia(2017),HS2017,USD,Import,1,General,CIF,Origin,51,2017
Armenia(2017),HS2017,USD,Export,1,General,FOB,Last Known Destination,51,2017
Aruba(2017),HS2012,AWG,Import,0.558659,General,CIF,Origin,533,2017
Aruba(2017),HS2012,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2017
Australia(2017),HS2017,AUD,Import,0.766773,General,FOB,Origin,36,2017
Australia(2017),HS2017,AUD,Export,0.766773,General,FOB,Last Known Destination,36,2017
Austria(2017),HS2017,EUR,Import,1.129295,Special,CIF,Origin,40,2017
Austria(2017),HS2017,EUR,Export,1.129301,Special,FOB,Last Known Destination,40,2017
Azerbaijan(2017),HS2012,USD,Import,1,General,CIF,Origin,31,2017
Azerbaijan(2017),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2017
Bahamas(2017),HS2012,USD,Import,1,General,CIF,Origin,44,2017
Bahamas(2017),HS2012,USD,Export,1,General,FOB,Last Known Destination,44,2017
