reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1973),SITC Rev.1,USD,Import,1,General,CIF,Origin,4,1973
Afghanistan(1973),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,4,1973
Algeria(1973),SITC Rev.1,DZD,Import,0.254507,Special,CIF,Origin,12,1973
Algeria(1973),SITC Rev.1,DZD,Export,0.25486,Special,FOB,Consignment,12,1973
Angola(1973),SITC Rev.1,PTE,Import,0.40849,Special,CIF,Origin,24,1973
Angola(1973),SITC Rev.1,PTE,Export,0.40685,Special,FOB,Last Known Destination,24,1973
Antigua and Barbuda(1973),SITC Rev.1,XCD,Import,0.51081,Special,CIF,Origin,28,1973
Antigua and Barbuda(1973),SITC Rev.1,XCD,Export,0.510808,General,FOB,Last Known Destination,28,1973
Argentina(1973),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1973
Argentina(1973),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1973
Australia(1973),SITC Rev.1,AUD,Import,1.42298,General,FOB,Origin,36,1973
Australia(1973),SITC Rev.1,AUD,Export,1.41694,General,FOB,Last Known Destination,36,1973
Austria(1973),SITC Rev.1,ATS,Import,0.5165,Special,CIF,Origin,40,1973
Austria(1973),SITC Rev.1,ATS,Export,0.51823,Special,FOB,Last Known Destination,40,1973
Bahrain(1973),SITC Rev.1,BHD,Import,2.5046,Special,CIF,Origin,48,1973
Bahrain(1973),SITC Rev.1,BHD,Export,2.4883,Special,FOB,Last Known Destination,48,1973
Barbados(1973),SITC Rev.1,BBD,Import,0.5101,General,CIF,Origin,52,1973
Barbados(1973),SITC Rev.1,BBD,Export,0.51579,General,FOB,Last Known Destination,52,1973
Belgium-Luxembourg(1973),SITC Rev.1,BEF,Import,0.025774,Special,CIF,Origin,58,1973
Belgium-Luxembourg(1973),SITC Rev.1,BEF,Export,0.0258,Special,FOB,Last Known Destination,58,1973
Benin(1973),SITC Rev.1,XOF,Import,0.449489,Special,CIF,Origin,204,1973
Benin(1973),SITC Rev.1,XOF,Export,0.4449,Special,FOB,Last Known Destination,204,1973
Bermuda(1973),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1973
