reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2016),HS2002,USD,Import,1,General,CIF,Origin,4,2016
Afghanistan(2016),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2016
Albania(2016),HS2012,ALL,Import,0.008061,Special,CIF,Origin,8,2016
Albania(2016),HS2012,ALL,Export,0.008058,Special,FOB,Last Known Destination,8,2016
Algeria(2016),HS2012,DZD,Import,0.009137,Special,CIF,Origin,12,2016
Algeria(2016),HS2012,DZD,Export,0.009126,Special,FOB,Last Known Destination,12,2016
Andorra(2016),HS2012,EUR,Import,1.105053,General,CIF,Origin,20,2016
Andorra(2016),HS2012,EUR,Export,1.10686,General,FOB,Last Known Destination,20,2016
Angola(2016),HS2012,USD,Import,1,Special,CIF,Origin,24,2016
Angola(2016),HS2012,USD,Export,1,Special,FOB,Last Known Destination,24,2016
Antigua and Barbuda(2016),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2016
Antigua and Barbuda(2016),HS2007,XCD,Export,0.37037,General,CIF,Last Known Destination,28,2016
Argentina(2016),HS2012,USD,Import,1,Special,CIF,Origin,32,2016
Argentina(2016),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2016
Armenia(2016),HS2012,USD,Import,1,General,CIF,Origin,51,2016
Armenia(2016),HS2012,USD,Export,1,General,FOB,Last Known Destination,51,2016
Aruba(2016),HS2012,USD,Import,1,General,CIF,Origin,533,2016
Aruba(2016),HS2012,USD,Export,1,General,FOB,Last Known Destination,533,2016
Australia(2016),HS2012,AUD,Import,0.745786,General,FOB,Origin,36,2016
Australia(2016),HS2012,AUD,Export,0.745956,General,FOB,Last Known Destination,36,2016
Austria(2016),HS2012,EUR,Import,1.106554,Special,CIF,Origin,40,2016
Austria(2016),HS2012,EUR,Export,1.106873,Special,FOB,Last Known Destination,40,2016
Azerbaijan(2016),HS2012,USD,Import,1,General,CIF,Origin,31,2016
Azerbaijan(2016),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2016
Bahamas(2016),HS2012,USD,Import,1,General,CIF,Origin,44,2016
Bahamas(2016),HS2012,USD,Export,1,General,FOB,Last Known Destination,44,2016
Bahrain(2016),HS2012,BHD,Import,2.65957,General,CIF,Origin,48,2016
Bahrain(2016),HS2012,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2016
Barbados(2016),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2016
