reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1979),SITC Rev.2,DZD,Import,0.260332,Special,CIF,Origin,12,1979
Algeria(1979),SITC Rev.2,DZD,Export,0.25948,Special,FOB,Consignment,12,1979
Angola(1979),SITC Rev.2,PTE,Import,NA,NULL,NULL,,24,1979
Angola(1979),SITC Rev.2,PTE,Export,0.33761,Special,FOB,Last Known Destination,24,1979
Argentina(1979),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1979
Argentina(1979),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1979
Australia(1979),SITC Rev.2,AUD,Import,1.11742,General,FOB,Origin,36,1979
Australia(1979),SITC Rev.2,AUD,Export,1.11681,General,FOB,Last Known Destination,36,1979
Austria(1979),SITC Rev.2,ATS,Import,0.75055,Special,CIF,Origin,40,1979
Austria(1979),SITC Rev.2,ATS,Export,0.75064,Special,FOB,Last Known Destination,40,1979
Bahrain(1979),SITC Rev.1,BHD,Import,2.62409,General,CIF,Origin,48,1979
Bahrain(1979),SITC Rev.1,BHD,Export,2.62472,General,FOB,Last Known Destination,48,1979
Bangladesh(1979),SITC Rev.2,BDT,Import,0.064462,General,CIF,Consignment,50,1979
Bangladesh(1979),SITC Rev.2,BDT,Export,0.06423,General,FOB,Last Known Destination,50,1979
Barbados(1979),SITC Rev.1,XCD,Import,0.4972,General,CIF,Origin,52,1979
Barbados(1979),SITC Rev.1,XCD,Export,0.4972,General,FOB,Last Known Destination,52,1979
Belgium-Luxembourg(1979),SITC Rev.2,BEF,Import,0.3414,Special,CIF,Origin,58,1979
Belgium-Luxembourg(1979),SITC Rev.2,BEF,Export,0.3413,Special,FOB,Last Known Destination,58,1979
Belize(1979),SITC Rev.1,BZD,Import,0.5,General,CIF,Origin,84,1979
Belize(1979),SITC Rev.1,BZD,Export,0.5,General,FOB,Last Known Destination,84,1979
Benin(1979),SITC Rev.1,XOF,Import,0.470416,Special,CIF,Origin,204,1979
Benin(1979),SITC Rev.1,XOF,Export,0.470416,Special,FOB,Last Known Destination,204,1979
Bermuda(1979),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1979
Bermuda(1979),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1979
Bolivia (Plurinational State of)(1979),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1979
Bolivia (Plurinational State of)(1979),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1979
Brazil(1979),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1979
Brazil(1979),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1979
Brunei Darussalam(1979),SITC Rev.1,BND,Import,0.457,Special,CIF,Origin,96,1979
Brunei Darussalam(1979),SITC Rev.1,BND,Export,0.457002,General,FOB,Last Known Destination,96,1979
Burkina Faso(1979),SITC Rev.2,XOF,Import,0.48093,Special,CIF,Origin,854,1979
Burkina Faso(1979),SITC Rev.2,XOF,Export,0.47264,Special,FOB,Last Known Destination,854,1979
Cabo Verde(1979),SITC Rev.2,PTE,Import,0,Special,CIF,Origin,132,1979
Cabo Verde(1979),SITC Rev.2,PTE,Export,0.20449,Special,FOB,Last Known Destination,132,1979
Cameroon(1979),SITC Rev.2,XOF,Import,0.468639,Special,CIF,Origin,120,1979
Cameroon(1979),SITC Rev.2,XOF,Export,0.46906,Special,FOB,Last Known Destination,120,1979
Canada(1979),SITC Rev.2,CAD,Import,0.854032,General,FOB,Consignment,124,1979
Canada(1979),SITC Rev.2,CAD,Export,0.853946,General,FOB,Consignment,124,1979
Central African Rep.(1979),SITC Rev.2,XOF,Import,0.470077,Special,CIF,Origin,140,1979
