reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1978),SITC Rev.2,DZD,Import,0.252091,Special,CIF,Origin,12,1978
Algeria(1978),SITC Rev.2,DZD,Export,0.25225,Special,FOB,Consignment,12,1978
Angola(1978),SITC Rev.2,PTE,Import,NA,NULL,NULL,,24,1978
Angola(1978),SITC Rev.2,PTE,Export,0.33761,Special,FOB,Last Known Destination,24,1978
Antigua and Barbuda(1978),SITC Rev.2,XCD,Import,0.037037,Special,CIF,Origin,28,1978
Antigua and Barbuda(1978),SITC Rev.2,XCD,Export,0.37037,General,FOB,Last Known Destination,28,1978
Argentina(1978),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1978
Argentina(1978),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1978
Australia(1978),SITC Rev.1,AUD,Import,1.14536,General,FOB,Origin,36,1978
Australia(1978),SITC Rev.1,AUD,Export,1.14514,General,FOB,Last Known Destination,36,1978
Austria(1978),SITC Rev.2,ATS,Import,0.69093,Special,CIF,Origin,40,1978
Austria(1978),SITC Rev.2,ATS,Export,0.69133,Special,FOB,Last Known Destination,40,1978
Bahrain(1978),SITC Rev.1,BHD,Import,2.58223,Special,CIF,Origin,48,1978
Bahrain(1978),SITC Rev.1,BHD,Export,2.58164,Special,FOB,Last Known Destination,48,1978
Bangladesh(1978),SITC Rev.2,BDT,Import,0.066715,General,CIF,Consignment,50,1978
Bangladesh(1978),SITC Rev.2,BDT,Export,0.06664,General,FOB,Last Known Destination,50,1978
Barbados(1978),SITC Rev.1,XCD,Import,0.4972,General,CIF,Origin,52,1978
Barbados(1978),SITC Rev.1,XCD,Export,0.4972,General,FOB,Last Known Destination,52,1978
Belgium-Luxembourg(1978),SITC Rev.2,BEF,Import,0.31855,Special,CIF,Origin,58,1978
Belgium-Luxembourg(1978),SITC Rev.2,BEF,Export,0.31882,Special,FOB,Last Known Destination,58,1978
Belize(1978),SITC Rev.1,BZD,Import,0.5,General,CIF,Origin,84,1978
Belize(1978),SITC Rev.1,BZD,Export,0.5,General,FOB,Last Known Destination,84,1978
Bermuda(1978),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1978
Bermuda(1978),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1978
Bolivia (Plurinational State of)(1978),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1978
Bolivia (Plurinational State of)(1978),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1978
Brazil(1978),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1978
Brazil(1978),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1978
Brunei Darussalam(1978),SITC Rev.1,BND,Import,0.432205,Special,CIF,Origin,96,1978
Brunei Darussalam(1978),SITC Rev.1,BND,Export,0.4322,General,FOB,Last Known Destination,96,1978
Burkina Faso(1978),SITC Rev.2,XOF,Import,0.446068,Special,CIF,Origin,854,1978
Burkina Faso(1978),SITC Rev.2,XOF,Export,0.44543,Special,FOB,Last Known Destination,854,1978
Cabo Verde(1978),SITC Rev.2,PTE,Import,0.22723,Special,CIF,Origin,132,1978
Cabo Verde(1978),SITC Rev.2,PTE,Export,0.22647,Special,FOB,Last Known Destination,132,1978
Cameroon(1978),SITC Rev.2,XOF,Import,0.445482,Special,CIF,Origin,120,1978
Cameroon(1978),SITC Rev.2,XOF,Export,0.44194,Special,FOB,Last Known Destination,120,1978
Canada(1978),SITC Rev.2,CAD,Import,0.843548,General,FOB,Consignment,124,1978
Canada(1978),SITC Rev.2,CAD,Export,0.843357,General,FOB,Consignment,124,1978
Central African Rep.(1978),SITC Rev.2,XOF,Import,0.443517,Special,CIF,Origin,140,1978
Central African Rep.(1978),SITC Rev.2,XOF,Export,0.44318,Special,FOB,Last Known Destination,140,1978
Chile(1978),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,152,1978
Chile(1978),SITC Rev.1,USD,Export,1,Special,FOB,Sale,152,1978
"China, Hong Kong SAR(1978)",SITC Rev.2,HKD,Import,0.213328,General,CIF,Consignment,344,1978
"China, Hong Kong SAR(1978)",SITC Rev.2,HKD,Export,0.2133,General,FOB,Last Known Destination,344,1978
"China, Macao SAR(1978)",SITC Rev.2,MOP,Import,0.199368,Special,CIF,Origin,446,1978
"China, Macao SAR(1978)",SITC Rev.2,MOP,Export,0.19896,Special,FOB,Last Known Destination,446,1978
Colombia(1978),SITC Rev.2,USD,Import,1,Special,CIF,Purchase,170,1978
Colombia(1978),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,170,1978
Dem. Rep. of the Congo(1978),SITC Rev.1,CDF,Import,1.20029,Special,CIF,Origin,180,1978
Dem. Rep. of the Congo(1978),SITC Rev.1,CDF,Export,1.22179,Special,FOB,Last Known Destination,180,1978
Egypt(1978),SITC Rev.1,EGP,Import,2.55556,Special,CIF,Consignment,818,1978
Egypt(1978),SITC Rev.1,EGP,Export,2.555558,Special,FOB,Last Known Destination,818,1978
Kenya(1978),SITC Rev.1,KES,Import,0.129279,General,CIF,Origin,404,1978
Kenya(1978),SITC Rev.1,KES,Export,0.12916,General,FOB,Last Known Destination,404,1978
Madagascar(1978),SITC Rev.2,MGF,Import,0.445026,Special,CIF,Origin,450,1978
Madagascar(1978),SITC Rev.2,MGF,Export,0.44315,Special,FOB,Last Known Destination,450,1978
Malawi(1978),SITC Rev.2,MWK,Import,1.18805,General,CIF,Origin,454,1978
Malawi(1978),SITC Rev.2,MWK,Export,1.19026,General,FOB,Last Known Destination,454,1978
Mauritius(1978),SITC Rev.1,MUR,Import,0.162961,General,CIF,Origin,480,1978
Mauritius(1978),SITC Rev.1,MUR,Export,0.16394,General,FOB,Last Known Destination,480,1978
Seychelles(1978),SITC Rev.1,SCR,Import,0.131142,Special,CIF,Origin,690,1978
Seychelles(1978),SITC Rev.1,SCR,Export,0.13057,Domestic,FOB,Last Known Destination,690,1978
Fmr Sudan(1978),SITC Rev.1,SDD,Import,2.66501,General,CIF,Origin,736,1978
Fmr Sudan(1978),SITC Rev.1,SDD,Export,2.63376,General,FOB,Last Known Destination,736,1978
United Rep. of Tanzania(1978),SITC Rev.1,TZS,Import,0.129859,General,CIF,Origin,834,1978
United Rep. of Tanzania(1978),SITC Rev.1,TZS,Export,0.130059,General,FOB,Last Known Destination,834,1978
Zambia(1978),SITC Rev.2,ZMK,Import,1.27514,General,FOB,Origin,894,1978
Zambia(1978),SITC Rev.2,ZMK,Export,1.265614,General,FOB,Last Known Destination,894,1978
Congo(1978),SITC Rev.2,XOF,Import,0.444088,Special,CIF,Origin,178,1978
Congo(1978),SITC Rev.2,XOF,Export,0.44622,Special,FOB,Last Known Destination,178,1978
Costa Rica(1978),SITC Rev.1,USD,Import,1,Special,CIF,Origin,188,1978
Costa Rica(1978),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,188,1978
Côte d'Ivoire(1978),SITC Rev.2,XOF,Import,0.444888,General,CIF,Origin,384,1978
Côte d'Ivoire(1978),SITC Rev.2,XOF,Export,0.44291,General,FOB,Last Known Destination,384,1978
Cuba(1978),SITC Rev.1,CUP,Import,NA,NULL,NULL,,192,1978
Cuba(1978),SITC Rev.1,CUP,Export,1.30417,Special,FOB,Sale,192,1978
Cyprus(1978),SITC Rev.2,CYP,Import,2.68127,General,CIF,Consignment,196,1978
Cyprus(1978),SITC Rev.2,CYP,Export,2.67789,General,FOB,Last Known Destination,196,1978
Czechoslovakia(1978),SITC Rev.1,CZK,Import,0.1845,General,FOB,Purchase,200,1978
Czechoslovakia(1978),SITC Rev.1,CZK,Export,0.18452,General,FOB,Sale,200,1978
Denmark(1978),SITC Rev.2,DKK,Import,0.181941,General,CIF,Origin,208,1978
Denmark(1978),SITC Rev.2,DKK,Export,0.18198,General,FOB,Last Known Destination,208,1978
Dominica(1978),SITC Rev.1,XCD,Import,0.37037,General,CIF,Origin,212,1978
Dominica(1978),SITC Rev.1,XCD,Export,0.37037,General,FOB,Last Known Destination,212,1978
Dominican Rep.(1978),SITC Rev.1,DOP,Import,1,General,FOB,Origin,214,1978
Dominican Rep.(1978),SITC Rev.1,DOP,Export,1,General,FOB,Last Known Destination,214,1978
Gambia(1978),SITC Rev.1,GMD,Import,0.478669,General,CIF,Consignment,270,1978
Gambia(1978),SITC Rev.1,GMD,Export,0.47297,General,FOB,Last Known Destination,270,1978
Ghana(1978),SITC Rev.1,GHC,Import,0.600395,General,CIF,Origin,288,1978
Ghana(1978),SITC Rev.1,GHC,Export,0.66627,General,FOB,Last Known Destination,288,1978
Liberia(1978),SITC Rev.2,USD,Import,1,General,CIF,Origin,430,1978
Liberia(1978),SITC Rev.2,USD,Export,1,General,FOB,Last Known Destination,430,1978
Mali(1978),SITC Rev.2,XOF,Import,0.2394,Special,CIF,Origin,466,1978
Mali(1978),SITC Rev.2,XOF,Export,0.252,Special,FOB,Last Known Destination,466,1978
Niger(1978),SITC Rev.2,XOF,Import,0.444024,Special,CIF,Origin,562,1978
Niger(1978),SITC Rev.2,XOF,Export,0.444024,Special,FOB,Last Known Destination,562,1978
Nigeria(1978),SITC Rev.1,NGN,Import,1.56567,General,CIF,Origin,566,1978
Nigeria(1978),SITC Rev.1,NGN,Export,1.56377,General,FOB,Last Known Destination,566,1978
Senegal(1978),SITC Rev.2,XOF,Import,0.443983,Special,CIF,Origin,686,1978
