reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2015),HS2002,USD,Import,1,General,CIF,Origin,4,2015
Afghanistan(2015),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2015
Albania(2015),HS2012,ALL,Import,0.007933,Special,CIF,Origin,8,2015
Albania(2015),HS2012,ALL,Export,0.007935,Special,FOB,Last Known Destination,8,2015
Algeria(2015),HS2012,DZD,Import,0.009976,Special,CIF,Origin,12,2015
Algeria(2015),HS2012,DZD,Export,0.009994,Special,FOB,Last Known Destination,12,2015
Andorra(2015),HS2012,EUR,Import,1.108461,General,CIF,Origin,20,2015
Andorra(2015),HS2012,EUR,Export,1.108721,General,FOB,Last Known Destination,20,2015
Angola(2015),HS2012,USD,Import,1,Special,CIF,Origin,24,2015
Angola(2015),HS2012,USD,Export,1,Special,FOB,Last Known Destination,24,2015
Antigua and Barbuda(2015),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2015
Antigua and Barbuda(2015),HS2007,XCD,Export,0.37037,General,CIF,Last Known Destination,28,2015
Argentina(2015),HS2012,USD,Import,1,Special,CIF,Origin,32,2015
Argentina(2015),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2015
Armenia(2015),HS2012,USD,Import,1,General,CIF,Origin,51,2015
Armenia(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,51,2015
Aruba(2015),HS2012,AWG,Import,0.558659,General,CIF,Origin,533,2015
Aruba(2015),HS2012,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2015
Australia(2015),HS2012,AUD,Import,0.751208,General,FOB,Origin,36,2015
Australia(2015),HS2012,AUD,Export,0.751809,General,FOB,Last Known Destination,36,2015
Austria(2015),HS2012,EUR,Import,1.10907,Special,CIF,Origin,40,2015
Austria(2015),HS2012,EUR,Export,1.108655,Special,FOB,Last Known Destination,40,2015
Azerbaijan(2015),HS2012,USD,Import,1,General,CIF,Origin,31,2015
Azerbaijan(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2015
Bahamas(2015),HS2012,USD,Import,1,General,CIF,Origin,44,2015
Bahamas(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,44,2015
Bahrain(2015),HS2012,BHD,Import,2.65957,General,CIF,Origin,48,2015
Bahrain(2015),HS2012,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2015
Bangladesh(2015),HS2012,BDT,Import,0.012828,General,CIF,Consignment,50,2015
Bangladesh(2015),HS2012,BDT,Export,0.012828,General,FOB,Last Known Destination,50,2015
Barbados(2015),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2015
Barbados(2015),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2015
Belarus(2015),HS2012,USD,Import,1,General,CIF,Origin,112,2015
Belarus(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,112,2015
Belgium(2015),HS2012,EUR,Import,1.109153,Special,CIF,Origin/Consignment for Intra EU,56,2015
Belgium(2015),HS2012,EUR,Export,1.1092,Special,FOB,Last Known Destination,56,2015
Belize(2015),HS2012,BZD,Import,0.5,General,CIF,Origin,84,2015
Belize(2015),HS2012,BZD,Export,0.5,General,FOB,Last Known Destination,84,2015
Benin(2015),HS2012,XOF,Import,0.001691,General,CIF,Origin,204,2015
Benin(2015),HS2012,XOF,Export,0.001691,General,FOB,Last Known Destination,204,2015
Bermuda(2015),HS2012,USD,Import,1,General,CIF,Origin,60,2015
Bermuda(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,60,2015
Bolivia (Plurinational State of)(2015),HS2012,USD,Import,1,General,CIF,Origin,68,2015
Bolivia (Plurinational State of)(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,68,2015
Bosnia Herzegovina(2015),HS2012,USD,Import,1,Special,CIF,Origin,70,2015
Bosnia Herzegovina(2015),HS2012,USD,Export,1,Special,FOB,Last Known Destination,70,2015
Botswana(2015),HS2012,BWP,Import,0.09893,General,CIF,Origin,72,2015
Botswana(2015),HS2012,BWP,Export,0.099597,General,FOB,Last Known Destination,72,2015
Brazil(2015),HS2012,USD,Import,1,Special,CIF/FOB,Origin,76,2015
Brazil(2015),HS2012,USD,Export,1,Special,FOB,Last Known Destination,76,2015
Brunei Darussalam(2015),HS2012,BND,Import,0.726045,Special,CIF,Origin,96,2015
Brunei Darussalam(2015),HS2012,BND,Export,0.728955,Special,FOB,Last Known Destination,96,2015
Bulgaria(2015),HS2012,BGN,Import,0.566567,Special,CIF,Consignment,100,2015
Bulgaria(2015),HS2012,BGN,Export,0.566946,Special,FOB,Last Known Destination,100,2015
Burkina Faso(2015),HS2012,XAF,Import,0.001691,General,CIF,Origin,854,2015
Burkina Faso(2015),HS2012,XAF,Export,0.001691,General,FOB,Last Known Destination,854,2015
Burundi(2015),HS2012,BIF,Import,0.000639,General,CIF,Origin,108,2015
Burundi(2015),HS2012,BIF,Export,0.000637,General,FOB,Last Known Destination,108,2015
Cabo Verde(2015),HS2012,CVE,Import,0.010047,Special,CIF,Origin,132,2015
Cabo Verde(2015),HS2012,CVE,Export,0.010057,Special,CIF,Last Known Destination,132,2015
Cambodia(2015),HS2012,USD,Import,1,General,CIF,Origin,116,2015
Cambodia(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,116,2015
Cameroon(2015),HS2012,XOF,Import,0.001689,Special,CIF,Origin,120,2015
Cameroon(2015),HS2012,XOF,Export,0.001689,Special,FOB,Last Known Destination,120,2015
Canada(2015),HS2012,CAD,Import,0.782506,General,FOB,Origin,124,2015
Canada(2015),HS2012,CAD,Export,0.782457,General,FOB,Last Known Destination,124,2015
Cayman Isds(2015),HS2012,KYD,Import,1.2,General,CIF,Origin,136,2015
Cayman Isds(2015),HS2012,KYD,Export,1.2,General,FOB,Last Known Destination,136,2015
Central African Rep.(2015),HS2007,USD,Import,1,General,CIF,Origin,140,2015
Central African Rep.(2015),HS2007,USD,Export,1,General,FOB,Last Known Destination,140,2015
Chile(2015),HS2012,USD,Import,1,General,CIF/FOB,Consignment,152,2015
Chile(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,152,2015
China(2015),HS2012,USD,Import,1,General,CIF,Origin,156,2015
China(2015),HS2012,USD,Export,1,General,FOB,Last Known Destination,156,2015
