reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1972),SITC Rev.1,USD,Import,1,General,CIF,Origin,4,1972
Afghanistan(1972),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,4,1972
Angola(1972),SITC Rev.1,PTE,Import,0.37043,Special,CIF,Origin,24,1972
Angola(1972),SITC Rev.1,PTE,Export,0.37031,Special,FOB,Last Known Destination,24,1972
Argentina(1972),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1972
Argentina(1972),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1972
Australia(1972),SITC Rev.1,AUD,Import,1.191,General,FOB,Origin,36,1972
Australia(1972),SITC Rev.1,AUD,Export,1.191,General,FOB,Last Known Destination,36,1972
Austria(1972),SITC Rev.1,ATS,Import,0.43261,Special,CIF,Origin,40,1972
Austria(1972),SITC Rev.1,ATS,Export,0.4327,Special,FOB,Last Known Destination,40,1972
Bahrain(1972),SITC Rev.1,BHD,Import,2.28,Special,CIF,Origin,48,1972
Bahrain(1972),SITC Rev.1,BHD,Export,2.28,Special,FOB,Last Known Destination,48,1972
Barbados(1972),SITC Rev.1,XCD,Import,0.523815,General,CIF,Origin,52,1972
Barbados(1972),SITC Rev.1,XCD,Export,0.52953,General,FOB,Last Known Destination,52,1972
Belgium-Luxembourg(1972),SITC Rev.1,BEF,Import,0.227191,Special,CIF,Origin,58,1972
Belgium-Luxembourg(1972),SITC Rev.1,BEF,Export,0.22717,Special,FOB,Last Known Destination,58,1972
Benin(1972),SITC Rev.1,XOF,Import,0.396597,Special,CIF,Origin,204,1972
Benin(1972),SITC Rev.1,XOF,Export,0.39674,Special,FOB,Last Known Destination,204,1972
Bermuda(1972),SITC Rev.1,BMD,Import,1.0467,General,CIF,Origin,60,1972
Bermuda(1972),SITC Rev.1,BMD,Export,1.0467,General,FOB,Last Known Destination,60,1972
Bolivia (Plurinational State of)(1972),SITC Rev.1,USD,Import,1,Special,CIF,Origin,68,1972
Bolivia (Plurinational State of)(1972),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,68,1972
Brazil(1972),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1972
Brazil(1972),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1972
Brunei Darussalam(1972),SITC Rev.1,BND,Import,0.35467,Special,CIF,Origin,96,1972
Brunei Darussalam(1972),SITC Rev.1,BND,Export,0.354667,General,FOB,Last Known Destination,96,1972
Burkina Faso(1972),SITC Rev.1,XOF,Import,0.396722,Special,CIF,Origin,854,1972
Burkina Faso(1972),SITC Rev.1,XOF,Export,0.39582,Special,FOB,Last Known Destination,854,1972
Cambodia(1972),SITC Rev.1,KHR,Import,0.00833,Special,CIF,Origin,116,1972
Cambodia(1972),SITC Rev.1,KHR,Export,0.00833,Special,FOB,Last Known Destination,116,1972
Cameroon(1972),SITC Rev.1,XOF,Import,0.391229,Special,CIF,Origin,120,1972
Cameroon(1972),SITC Rev.1,XOF,Export,0.39118000000000003,Special,FOB,Last Known Destination,120,1972
Canada(1972),SITC Rev.1,CAD,Import,1.00996,General,FOB,Consignment,124,1972
Canada(1972),SITC Rev.1,CAD,Export,1.01005,General,FOB,Consignment,124,1972
Chad(1972),SITC Rev.1,XOF,Import,0.3965,Special,CIF,Origin,148,1972
