reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1994),HS1992,DZD,Import,0.02827,Special,CIF,Origin,12,1994
Algeria(1994),HS1992,DZD,Export,0.02837,Special,FOB,Last Known Destination,12,1994
Argentina(1994),HS1992,USD,Import,1,Special,CIF,Origin,32,1994
Argentina(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,32,1994
Australia(1994),HS1992,AUD,Import,0.733049,General,FOB,Origin,36,1994
Australia(1994),HS1992,AUD,Export,0.73229,General,FOB,Last Known Destination,36,1994
Austria(1994),HS1992,ATS,Import,0.087922,Special,CIF,Origin,40,1994
Austria(1994),HS1992,ATS,Export,0.08797,Special,FOB,Last Known Destination,40,1994
Bahrain(1994),SITC Rev.3,BHD,Import,2.65958,General,CIF,Origin,48,1994
Bahrain(1994),SITC Rev.3,BHD,Export,2.65958,General,FOB,Last Known Destination,48,1994
Bangladesh(1994),HS1992,BDT,Import,NA,NULL,NULL,,50,1994
Bangladesh(1994),HS1992,BDT,Export,0.024999,General,FOB,Last Known Destination,50,1994
Barbados(1994),SITC Rev.3,XCD,Import,0.4972,General,CIF,Origin,52,1994
Barbados(1994),SITC Rev.3,XCD,Export,0.4972,General,FOB,Last Known Destination,52,1994
Belgium-Luxembourg(1994),SITC Rev.3,BEF,Import,0.029965,Special,CIF,Origin,58,1994
Belgium-Luxembourg(1994),SITC Rev.3,BEF,Export,0.02997,Special,FOB,Last Known Destination,58,1994
Belize(1994),HS1992,XCD,Import,0.37037,General,CIF,Origin,84,1994
Belize(1994),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,84,1994
Benin(1994),SITC Rev.2,XOF,Import,0.001803,General,CIF,Origin,204,1994
Benin(1994),SITC Rev.2,XOF,Export,0.0018,General,FOB,Last Known Destination,204,1994
Bermuda(1994),HS1992,BMD,Import,NA,NULL,NULL,,60,1994
Bermuda(1994),HS1992,BMD,Export,1,General,FOB,Last Known Destination,60,1994
Bhutan(1994),HS1992,BTN,Import,0.031874,General,CIF,Origin,64,1994
Bhutan(1994),HS1992,BTN,Export,0.03187,General,FOB,Last Known Destination,64,1994
Bolivia (Plurinational State of)(1994),HS1992,USD,Import,1,Special,CIF,Origin,68,1994
Bolivia (Plurinational State of)(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,68,1994
Brazil(1994),HS1992,USD,Import,1,Special,CIF,Purchase,76,1994
Brazil(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,76,1994
Brunei Darussalam(1994),HS1992,BND,Import,0.678795,General,CIF,Origin,96,1994
Brunei Darussalam(1994),HS1992,BND,Export,0.678795,General,FOB,Last Known Destination,96,1994
Burundi(1994),HS1992,BIF,Import,0.003973,General,CIF,Consignment,108,1994
Burundi(1994),HS1992,BIF,Export,0.00402,General,FOB,Last Known Destination,108,1994
Canada(1994),HS1992,CAD,Import,0.73353,General,FOB,Origin,124,1994
Canada(1994),HS1992,CAD,Export,0.733853,General,FOB,Last Known Destination,124,1994
Central African Rep.(1994),HS1992,XOF,Import,0.001807,Special,CIF,Origin,140,1994
Central African Rep.(1994),HS1992,XOF,Export,0.001808,Special,FOB,Last Known Destination,140,1994
Chile(1994),HS1992,USD,Import,1,Special,CIF,Purchase,152,1994
Chile(1994),HS1992,USD,Export,1,Special,FOB,Sale,152,1994
China(1994),HS1992,USD,Import,1,Special,CIF,Origin,156,1994
China(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,156,1994
"China, Hong Kong SAR(1994)",HS1992,HKD,Import,0.129268,General,CIF,Consignment,344,1994
"China, Hong Kong SAR(1994)",HS1992,HKD,Export,0.12926,General,FOB,Last Known Destination,344,1994
"China, Macao SAR(1994)",HS1992,MOP,Import,0.123457,General,CIF,Consignment,446,1994
"China, Macao SAR(1994)",HS1992,MOP,Export,0.12346,General,FOB,Last Known Destination,446,1994
Rep. of Moldova(1994),HS1992,USD,Import,1,General,CIF,Origin,498,1994
Rep. of Moldova(1994),HS1992,USD,Export,1,General,FOB,Last Known Destination,498,1994
Colombia(1994),HS1992,USD,Import,1,Special,CIF,Purchase,170,1994
Colombia(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,170,1994
Egypt(1994),HS1992,EGP,Import,0.295339,Special,CIF,Consignment,818,1994
Egypt(1994),HS1992,EGP,Export,0.29533,Special,FOB,Last Known Destination,818,1994
Kenya(1994),SITC Rev.3,KES,Import,0.018162,General,CIF,Origin,404,1994
Kenya(1994),SITC Rev.3,KES,Export,0.01827,General,FOB,Last Known Destination,404,1994
Madagascar(1994),HS1992,MGF,Import,0.000313,Special,CIF,Origin,450,1994
Madagascar(1994),HS1992,MGF,Export,0.00031,Special,FOB,Last Known Destination,450,1994
Malawi(1994),HS1992,MWK,Import,0.116071,General,CIF,Origin,454,1994
Malawi(1994),HS1992,MWK,Export,0.11584,General,FOB,Last Known Destination,454,1994
Mauritius(1994),HS1992,MUR,Import,0.055871,General,CIF,Consignment,480,1994
Mauritius(1994),HS1992,MUR,Export,0.05599,General,FOB,Last Known Destination,480,1994
Seychelles(1994),HS1992,SCR,Import,0.198173,General,CIF,Origin,690,1994
Seychelles(1994),HS1992,SCR,Export,0.198258,General,FOB,Last Known Destination,690,1994
Fmr Sudan(1994),SITC Rev.1,SDD,Import,0.04013,General,CIF,Consignment,736,1994
Fmr Sudan(1994),SITC Rev.1,SDD,Export,0.0382,General,FOB,Last Known Destination,736,1994
Uganda(1994),HS1992,USD,Import,1,General,CIF,Consignment,800,1994
Uganda(1994),HS1992,USD,Export,1,General,FOB,Last Known Destination,800,1994
Zimbabwe(1994),SITC Rev.3,ZWD,Import,0.12267,General,CIF,Origin,716,1994
Zimbabwe(1994),SITC Rev.3,ZWD,Export,0.122483,General,FOB,Last Known Destination,716,1994
Congo(1994),HS1992,XOF,Import,0.00181,Special,CIF,Origin,178,1994
Congo(1994),HS1992,XOF,Export,0.00181,Special,FOB,Last Known Destination,178,1994
Costa Rica(1994),HS1992,USD,Import,1,Special,CIF,Consignment,188,1994
Costa Rica(1994),HS1992,USD,Export,1,Special,FOB,Last Known Destination,188,1994
Croatia(1994),HS1992,USD,Import,1,General,CIF,Origin,191,1994
Croatia(1994),HS1992,USD,Export,1,General,FOB,Last Known Destination,191,1994
Cyprus(1994),HS1992,CYP,Import,2.0337,General,CIF,Consignment,196,1994
Cyprus(1994),HS1992,CYP,Export,2.019565,General,FOB,Last Known Destination,196,1994
Czechia(1994),HS1992,CZK,Import,0.034892,General,FOB,Purchase,203,1994
Czechia(1994),HS1992,CZK,Export,0.0348,General,FOB,Sale,203,1994
Denmark(1994),HS1992,DKK,Import,0.157978,General,CIF,Origin,208,1994
