reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(1999),HS1996,LEK,Import,0.007239,General,CIF,Origin,8,1999
Albania(1999),HS1996,LEK,Export,0.00725,General,FOB,Last Known Destination,8,1999
Algeria(1999),HS1996,USD,Import,1,Special,CIF,Origin,12,1999
Algeria(1999),HS1996,USD,Export,1,Special,FOB,Last Known Destination,12,1999
Andorra(1999),HS1996,ESP,Import,6.3937,General,CIF,Consignment,20,1999
Andorra(1999),HS1996,ESP,Export,6.3937,General,FOB,Last Known Destination,20,1999
Antigua and Barbuda(1999),HS1996,XCD,Import,0.37037,General,CIF,Origin,28,1999
Antigua and Barbuda(1999),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,28,1999
Argentina(1999),HS1996,USD,Import,1,Special,CIF,Origin,32,1999
Argentina(1999),HS1996,USD,Export,1,Special,FOB,Last Known Destination,32,1999
Armenia(1999),HS1996,USD,Import,1,General,CIF,Origin,51,1999
Armenia(1999),HS1996,USD,Export,1,General,FOB,Last Known Destination,51,1999
Australia(1999),HS1996,AUD,Import,0.645409,General,FOB,Origin,36,1999
Australia(1999),HS1996,AUD,Export,0.64537,General,FOB,Last Known Destination,36,1999
Austria(1999),HS1996,ATS,Import,0.07742,Special,CIF,Purchase,40,1999
Austria(1999),HS1996,ATS,Export,0.07735,Special,FOB,Last Known Destination,40,1999
Azerbaijan(1999),HS1996,USD,Import,1,General,CIF,Origin,31,1999
Azerbaijan(1999),HS1996,USD,Export,1,General,FOB,Last Known Destination,31,1999
Bahamas(1999),HS1996,BSD,Import,1,General,CIF,Consignment,44,1999
Bahamas(1999),HS1996,BSD,Export,1,General,FOB,Last Known Destination,44,1999
Barbados(1999),HS1992,XCD,Import,0.5,General,CIF,Origin,52,1999
Barbados(1999),HS1992,XCD,Export,0.5,General,FOB,Last Known Destination,52,1999
Belarus(1999),HS1996,USD,Import,1,General,CIF,Origin,112,1999
Belarus(1999),HS1996,USD,Export,1,General,FOB,Last Known Destination,112,1999
Belgium(1999),HS1996,BEF,Import,0.026395,Special,CIF,Origin,56,1999
Belgium(1999),HS1996,BEF,Export,0.02639,Special,FOB,Last Known Destination,56,1999
Belize(1999),HS1996,XCD,Import,0.37037,General,CIF,Origin,84,1999
Belize(1999),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,84,1999
Benin(1999),HS1996,XOF,Import,0.001613,General,CIF,Origin,204,1999
Benin(1999),HS1996,XOF,Export,0.001626,General,FOB,Last Known Destination,204,1999
Bhutan(1999),HS1996,BTN,Import,0.023262,General,CIF,Origin,64,1999
Bhutan(1999),HS1996,BTN,Export,0.02324,General,FOB,Last Known Destination,64,1999
Bolivia (Plurinational State of)(1999),HS1996,USD,Import,1,Special,CIF,Origin,68,1999
Bolivia (Plurinational State of)(1999),HS1996,USD,Export,1,Special,FOB,Last Known Destination,68,1999
Brazil(1999),HS1996,USD,Import,1,Special,CIF,Purchase,76,1999
Brazil(1999),HS1996,USD,Export,1,Special,FOB,Last Known Destination,76,1999
Bulgaria(1999),HS1996,EUR,Import,1.06106,Special,CIF,Origin,100,1999
Bulgaria(1999),HS1996,EUR,Export,1.06154,Special,FOB,Last Known Destination,100,1999
Burkina Faso(1999),HS1992,XOF,Import,0.00162,General,CIF,Origin,854,1999
Burkina Faso(1999),HS1992,XOF,Export,0.001631,General,FOB,Last Known Destination,854,1999
Burundi(1999),HS1992,BIF,Import,0.00178,General,CIF,Consignment,108,1999
Burundi(1999),HS1992,BIF,Export,0.00175,General,FOB,Last Known Destination,108,1999
Cameroon(1999),HS1992,XOF,Import,0.001619,Special,CIF,Origin,120,1999
Cameroon(1999),HS1992,XOF,Export,NA,NULL,NULL,,120,1999
Canada(1999),HS1996,CAD,Import,0.673308,General,FOB,Origin,124,1999
Canada(1999),HS1996,CAD,Export,0.673302,General,FOB,Last Known Destination,124,1999
Central African Rep.(1999),HS1996,XOF,Import,0.001629,Special,CIF,Origin,140,1999
Central African Rep.(1999),HS1996,XOF,Export,0.001629,Special,FOB,Last Known Destination,140,1999
Chile(1999),HS1996,USD,Import,1,Special,CIF,Purchase,152,1999
Chile(1999),HS1996,USD,Export,1,Special,FOB,Sale,152,1999
China(1999),HS1996,USD,Import,1,Special,CIF,Origin,156,1999
China(1999),HS1996,USD,Export,1,Special,FOB,Last Known Destination,156,1999
"China, Hong Kong SAR(1999)",HS1996,HKD,Import,0.128895,General,CIF,Consignment,344,1999
"China, Hong Kong SAR(1999)",HS1996,HKD,Export,0.12889,General,FOB,Last Known Destination,344,1999
"China, Macao SAR(1999)",HS1996,MOP,Import,0.124953,General,CIF,Origin,446,1999
"China, Macao SAR(1999)",HS1996,MOP,Export,0.12495,General,FOB,Last Known Destination,446,1999
Georgia(1999),HS1996,USD,Import,1,General,CIF,Origin,268,1999
Georgia(1999),HS1996,USD,Export,1,General,FOB,Last Known Destination,268,1999
Kazakhstan(1999),HS1992,USD,Import,1,General,CIF,Purchase,398,1999
Kazakhstan(1999),HS1992,USD,Export,1,General,FOB,Sale,398,1999
Kyrgyzstan(1999),SITC Rev.3,USD,Import,1,General,CIF,Origin,417,1999
Kyrgyzstan(1999),SITC Rev.3,USD,Export,1,General,FOB,Last Known Destination,417,1999
Rep. of Moldova(1999),HS1992,USD,Import,1,General,CIF,Origin,498,1999
Rep. of Moldova(1999),HS1992,USD,Export,1,General,FOB,Last Known Destination,498,1999
Russian Federation(1999),HS1996,USD,Import,1,General,CIF,Origin,643,1999
