reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2012),HS2002,USD,Import,1,General,CIF,Origin,4,2012
Afghanistan(2012),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2012
Albania(2012),HS2012,ALL,Import,0.009238,Special,CIF,Origin,8,2012
Albania(2012),HS2012,ALL,Export,0.009238,Special,FOB,Last Known Destination,8,2012
Algeria(2012),HS2012,USD,Import,1,Special,CIF,Origin,12,2012
Algeria(2012),HS2012,USD,Export,1,Special,FOB,Last Known Destination,12,2012
Andorra(2012),HS2012,EUR,Import,1.285715,General,CIF,Origin,20,2012
Andorra(2012),HS2012,EUR,Export,1.285496,General,FOB,Last Known Destination,20,2012
Angola(2012),HS2007,USD,Import,1,Special,CIF,Origin,24,2012
Angola(2012),HS2007,USD,Export,1,Special,FOB,Last Known Destination,24,2012
Antigua and Barbuda(2012),HS1996,XCD,Import,0.37037,General,CIF,Origin,28,2012
Antigua and Barbuda(2012),HS1996,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2012
Argentina(2012),HS2012,USD,Import,1,Special,CIF,Origin,32,2012
Argentina(2012),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2012
Armenia(2012),HS2007,USD,Import,1,General,CIF,Origin,51,2012
Armenia(2012),HS2007,USD,Export,1,General,FOB,Last Known Destination,51,2012
Aruba(2012),HS2007,AWG,Import,0.558659,General,CIF,Origin,533,2012
Aruba(2012),HS2007,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2012
Australia(2012),HS2012,AUD,Import,1.035621,General,FOB,Origin,36,2012
Australia(2012),HS2012,AUD,Export,1.034888,General,FOB,Last Known Destination,36,2012
Austria(2012),HS2012,EUR,Import,1.285457,Special,CIF,Origin,40,2012
Austria(2012),HS2012,EUR,Export,1.285545,Special,FOB,Last Known Destination,40,2012
Azerbaijan(2012),HS2012,USD,Import,1,General,CIF,Origin,31,2012
Azerbaijan(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2012
Bahamas(2012),HS2007,BSD,Import,1,General,CIF,Origin,44,2012
Bahamas(2012),HS2007,BSD,Export,1,General,FOB,Last Known Destination,44,2012
Bahrain(2012),HS2007,BHD,Import,2.65957,General,CIF,Origin,48,2012
Bahrain(2012),HS2007,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2012
Bangladesh(2012),HS2012,BDT,Import,0.012216,General,CIF,Consignment,50,2012
Bangladesh(2012),HS2012,BDT,Export,0.012217,General,FOB,Last Known Destination,50,2012
Barbados(2012),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2012
Barbados(2012),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2012
Belarus(2012),HS2012,USD,Import,1,General,CIF,Origin,112,2012
Belarus(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,112,2012
Belgium(2012),HS2012,EUR,Import,1.285966,Special,CIF,Origin/Consignment for Intra EU,56,2012
Belgium(2012),HS2012,EUR,Export,1.285916,Special,FOB,Last Known Destination,56,2012
Belize(2012),HS2007,BZD,Import,0.5,General,CIF,Origin,84,2012
Belize(2012),HS2007,BZD,Export,0.5,General,FOB,Last Known Destination,84,2012
Benin(2012),HS2002,XOF,Import,0.001961,General,CIF,Origin,204,2012
Benin(2012),HS2002,XOF,Export,0.001956,General,FOB,Last Known Destination,204,2012
Bermuda(2012),HS2012,BMD,Import,1,General,CIF,Origin,60,2012
Bermuda(2012),HS2012,BMD,Export,1,General,FOB,Last Known Destination,60,2012
Bhutan(2012),HS2012,BTN,Import,0.018678,General,CIF,Origin,64,2012
Bhutan(2012),HS2012,BTN,Export,0.018692,General,FOB,Last Known Destination,64,2012
Bolivia (Plurinational State of)(2012),HS2012,USD,Import,1,General,CIF,Origin,68,2012
Bolivia (Plurinational State of)(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,68,2012
Bosnia Herzegovina(2012),HS2012,USD,Import,1,Special,CIF,Origin,70,2012
Bosnia Herzegovina(2012),HS2012,USD,Export,1,Special,FOB,Last Known Destination,70,2012
Botswana(2012),HS2002,BWP,Import,0.146464,General,CIF,Origin,72,2012
Botswana(2012),HS2002,BWP,Export,0.145632,General,FOB,Last Known Destination,72,2012
Brazil(2012),HS2012,USD,Import,1,Special,CIF/FOB,Origin,76,2012
Brazil(2012),HS2012,USD,Export,1,Special,FOB,Last Known Destination,76,2012
Brunei Darussalam(2012),HS2007,BND,Import,0.800607,Special,CIF,Origin,96,2012
Brunei Darussalam(2012),HS2007,BND,Export,0.801497,Special,FOB,Last Known Destination,96,2012
Bulgaria(2012),HS2012,BGN,Import,0.656968,Special,CIF,Consignment,100,2012
Bulgaria(2012),HS2012,BGN,Export,0.656511,Special,FOB,Last Known Destination,100,2012
Burkina Faso(2012),HS2007,XAF,Import,0.001959,General,CIF,Origin,854,2012
Burkina Faso(2012),HS2007,XAF,Export,0.001959,General,FOB,Last Known Destination,854,2012
Burundi(2012),HS2002,BIF,Import,0.000693,General,CIF,Origin,108,2012
Burundi(2012),HS2002,BIF,Export,0.000687,General,FOB,Last Known Destination,108,2012
Cabo Verde(2012),HS2007,CVE,Import,0.011486,Special,CIF,Origin,132,2012
Cabo Verde(2012),HS2007,CVE,Export,0.011524,Special,FOB,Last Known Destination,132,2012
Cambodia(2012),HS2012,USD,Import,1,General,CIF,Origin,116,2012
Cambodia(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,116,2012
Cameroon(2012),HS2002,XOF,Import,0.001959,Special,CIF,Origin,120,2012
Cameroon(2012),HS2002,XOF,Export,0.001959,Special,FOB,Last Known Destination,120,2012
Canada(2012),HS2012,CAD,Import,1.00086,General,FOB,Origin,124,2012
Canada(2012),HS2012,CAD,Export,1.000919,General,FOB,Last Known Destination,124,2012
Central African Rep.(2012),HS2007,XAF,Import,0.001958,Special,CIF,Origin,140,2012
Central African Rep.(2012),HS2007,XAF,Export,0.001962,Special,FOB,Last Known Destination,140,2012
Chile(2012),HS2012,USD,Import,1,General,CIF/FOB,Consignment,152,2012
Chile(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,152,2012
China(2012),HS2012,USD,Import,1,General,CIF,Origin,156,2012
China(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,156,2012
"China, Hong Kong SAR(2012)",HS2012,HKD,Import,0.128926,General,CIF,Consignment,344,2012
"China, Hong Kong SAR(2012)",HS2012,HKD,Export,0.128926,General,FOB,Last Known Destination,344,2012
"China, Macao SAR(2012)",HS2012,MOP,Import,0.125159,General,CIF,Origin,446,2012
"China, Macao SAR(2012)",HS2012,MOP,Export,0.125159,General,FOB,Last Known Destination,446,2012
Georgia(2012),HS2012,USD,Import,1,General,CIF,Consignment,268,2012
Georgia(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,268,2012
Kazakhstan(2012),HS2012,USD,Import,1,General,CIF,Origin,398,2012
Kazakhstan(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,398,2012
Kyrgyzstan(2012),HS2007,USD,Import,1,General,CIF,Origin,417,2012
Kyrgyzstan(2012),HS2007,USD,Export,1,General,FOB,Last Known Destination,417,2012
Rep. of Moldova(2012),HS2007,USD,Import,1,General,CIF,Origin,498,2012
Rep. of Moldova(2012),HS2007,USD,Export,1,General,FOB,Last Known Destination,498,2012
Russian Federation(2012),HS2012,USD,Import,1,General,CIF,Origin,643,2012
Russian Federation(2012),HS2012,USD,Export,1,General,FOB,Last Known Destination,643,2012
Ukraine(2012),HS2007,USD,Import,1,General,CIF,Origin,804,2012
Ukraine(2012),HS2007,USD,Export,1,General,FOB,Last Known Destination,804,2012
Colombia(2012),HS2012,USD,Import,1,Special,CIF,Origin,170,2012
Colombia(2012),HS2012,USD,Export,1,Special,FOB,Last Known Destination,170,2012
Comoros(2012),HS2002,KMF,Import,0.002612,General,CIF,Consignment,174,2012
Comoros(2012),HS2002,KMF,Export,0.002611,General,FOB,Last Known Destination,174,2012
Egypt(2012),HS2007,EGP,Import,0.16479,General,CIF,Consignment,818,2012
Egypt(2012),HS2007,EGP,Export,0.16479,General,FOB,Last Known Destination,818,2012
Ethiopia(2012),HS2007,ETB,Import,0.056433,General,CIF,Origin,231,2012
Ethiopia(2012),HS2007,ETB,Export,0.056618,General,FOB,Last Known Destination,231,2012
Madagascar(2012),HS2012,MGA,Import,0.000456,General,CIF,Origin,450,2012
Madagascar(2012),HS2012,MGA,Export,0.000456,General,FOB,Last Known Destination,450,2012
Malawi(2012),HS2007,MWK,Import,0.004014,General,CIF,Origin,454,2012
Malawi(2012),HS2007,MWK,Export,0.004014,General,FOB,Last Known Destination,454,2012
Mauritius(2012),HS2012,MUR,Import,0.033266,General,CIF,Origin,480,2012
Mauritius(2012),HS2012,MUR,Export,0.033297,General,FOB,Last Known Destination,480,2012
Namibia(2012),HS2012,NAD,Import,0.121598,General,CIF,Origin,516,2012
Namibia(2012),HS2012,NAD,Export,0.121889,General,FOB,Last Known Destination,516,2012
Rwanda(2012),HS2007,RWF,Import,0.001622,General,CIF,Origin,646,2012
Rwanda(2012),HS2007,RWF,Export,0.00162,General,FOB,Last Known Destination,646,2012
Seychelles(2012),HS2002,SCR,Import,0.072971,General,CIF,Origin,690,2012
Seychelles(2012),HS2002,SCR,Export,0.072971,General,FOB,Last Known Destination,690,2012
Eswatini(2012),HS2012,SZL,Import,0.121112,General,CIF,Origin,748,2012
Eswatini(2012),HS2012,SZL,Export,0.121071,General,FOB,Last Known Destination,748,2012
