reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2019),HS2012,USD,Import,1,General,CIF,Origin,4,2019
Afghanistan(2019),HS2012,USD,Export,1,General,FOB,Last Known Destination,4,2019
Albania(2019),HS2017,ALL,Import,0.009102,Special,CIF,Origin,8,2019
Albania(2019),HS2017,ALL,Export,0.009101,Special,FOB,Last Known Destination,8,2019
Angola(2019),HS2017,USD,Import,1,General,CIF,Origin,24,2019
Angola(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,24,2019
Antigua and Barbuda(2019),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2019
Antigua and Barbuda(2019),HS2007,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2019
Argentina(2019),HS2017,USD,Import,1,Special,CIF,Origin,32,2019
Argentina(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,32,2019
Armenia(2019),HS2017,USD,Import,1,General,CIF,Origin,51,2019
Armenia(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,51,2019
Aruba(2019),HS2012,USD,Import,1,General,CIF,Origin,533,2019
Aruba(2019),HS2012,USD,Export,1,General,FOB,Last Known Destination,533,2019
Australia(2019),HS2017,AUD,Import,0.694859,General,FOB,Origin,36,2019
Australia(2019),HS2017,AUD,Export,0.695097,General,FOB,Last Known Destination,36,2019
Austria(2019),HS2017,EUR,Import,1.119697,Special,CIF,Origin,40,2019
Austria(2019),HS2017,EUR,Export,1.11958,Special,FOB,Last Known Destination,40,2019
Azerbaijan(2019),HS2017,USD,Import,1,General,CIF,Origin,31,2019
Azerbaijan(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,31,2019
Bahrain(2019),HS2017,USD,Import,1,General,CIF,Origin,48,2019
Bahrain(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,48,2019
Barbados(2019),HS2017,USD,Import,1,General,CIF,Origin,52,2019
Barbados(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,52,2019
Belarus(2019),HS2017,USD,Import,1,General,CIF,Origin,112,2019
Belarus(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,112,2019
Belgium(2019),HS2017,EUR,Import,1.119775,Special,CIF,Origin/Consignment for Intra EU,56,2019
Belgium(2019),HS2017,EUR,Export,1.119655,Special,FOB,Last Known Destination,56,2019
Belize(2019),HS2017,BZD,Import,0.5,General,CIF,Origin,84,2019
Belize(2019),HS2017,BZD,Export,0.5,General,FOB,Last Known Destination,84,2019
Benin(2019),HS2017,XOF,Import,0.001707,General,CIF,Origin,204,2019
Benin(2019),HS2017,XOF,Export,0.001707,General,FOB,Last Known Destination,204,2019
Bermuda(2019),HS2017,USD,Import,1,General,CIF,Origin,60,2019
Bermuda(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,60,2019
Bolivia (Plurinational State of)(2019),HS2017,USD,Import,1,General,CIF,Origin,68,2019
Bolivia (Plurinational State of)(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,68,2019
Bosnia Herzegovina(2019),HS2017,USD,Import,1,Special,CIF,Origin,70,2019
Bosnia Herzegovina(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,70,2019
Botswana(2019),HS2017,BWP,Import,0.092917,General,CIF,Origin,72,2019
Botswana(2019),HS2017,BWP,Export,0.093067,General,FOB,Last Known Destination,72,2019
Brazil(2019),HS2017,USD,Import,1,Special,CIF,Origin,76,2019
Brazil(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,76,2019
Brunei Darussalam(2019),HS2017,USD,Import,1,Special,CIF,Origin,96,2019
Brunei Darussalam(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,96,2019
Bulgaria(2019),HS2017,BGL,Import,0.572298,Special,CIF,Consignment,100,2019
Bulgaria(2019),HS2017,BGL,Export,0.572285,Special,FOB,Last Known Destination,100,2019
Burkina Faso(2019),HS2017,USD,Import,1,General,CIF,Origin,854,2019
Burkina Faso(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,854,2019
Burundi(2019),HS2017,USD,Import,1,General,CIF,Origin,108,2019
Burundi(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,108,2019
Cabo Verde(2019),HS2017,USD,Import,1,Special,CIF,Origin,132,2019
Cabo Verde(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,132,2019
Cambodia(2019),HS2017,USD,Import,1,General,CIF,Origin,116,2019
Cambodia(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,116,2019
Canada(2019),HS2017,CAD,Import,0.753561,General,FOB,Origin,124,2019
Canada(2019),HS2017,CAD,Export,0.753645,General,FOB,Last Known Destination,124,2019
Chile(2019),HS2017,USD,Import,1,General,CIF,Consignment,152,2019
Chile(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,152,2019
China(2019),HS2017,USD,Import,1,General,CIF,Origin,156,2019
China(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,156,2019
"China, Hong Kong SAR(2019)",HS2017,HKD,Import,0.127617,General,CIF,Consignment,344,2019
"China, Hong Kong SAR(2019)",HS2017,HKD,Export,0.127617,General,FOB,Last Known Destination,344,2019
"China, Macao SAR(2019)",HS2017,MOP,Import,0.123909,General,CIF,Origin,446,2019
"China, Macao SAR(2019)",HS2017,MOP,Export,0.123909,General,FOB,Last Known Destination,446,2019
Georgia(2019),HS2017,USD,Import,1,General,CIF,Consignment,268,2019
Georgia(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,268,2019
Kazakhstan(2019),HS2017,USD,Import,1,General,CIF,Origin,398,2019
Kazakhstan(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,398,2019
Kyrgyzstan(2019),HS2017,USD,Import,1,General,CIF,Origin,417,2019
Kyrgyzstan(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,417,2019
Rep. of Moldova(2019),HS2012,USD,Import,1,General,CIF,Origin,498,2019
Rep. of Moldova(2019),HS2012,USD,Export,1,General,FOB,Last Known Destination,498,2019
Russian Federation(2019),HS2017,USD,Import,1,General,CIF,Origin,643,2019
Russian Federation(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,643,2019
Tajikistan(2019),HS2012,USD,Import,1,General,CIF,Origin,762,2019
Tajikistan(2019),HS2012,USD,Export,1,General,FOB,Consignment,762,2019
Ukraine(2019),HS2012,USD,Import,1,General,CIF,Origin,804,2019
Ukraine(2019),HS2012,USD,Export,1,General,FOB,Last Known Destination,804,2019
Uzbekistan(2019),HS2017,USD,Import,1,General,CIF,Origin,860,2019
Uzbekistan(2019),HS2017,USD,Export,1,General,FOB,Last Known Destination,860,2019
Colombia(2019),HS2017,USD,Import,1,Special,CIF,Origin,170,2019
Colombia(2019),HS2017,USD,Export,1,Special,FOB,Last Known Destination,170,2019
Comoros(2019),HS2017,KMF,Import,0.002274,General,CIF,Consignment,174,2019
Comoros(2019),HS2017,KMF,Export,0.002274,General,FOB,Last Known Destination,174,2019
Dem. Rep. of the Congo(2019),HS2012,CDF,Import,6.07e-4,General,CIF,Origin,180,2019
Dem. Rep. of the Congo(2019),HS2012,CDF,Export,6.07e-4,General,FOB,Last Known Destination,180,2019
Egypt(2019),HS2012,EGP,Import,0.059628,General,CIF,Origin,818,2019
