reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2018),HS2012,USD,Import,1,General,CIF,Origin,4,2018
Afghanistan(2018),HS2012,USD,Export,1,General,FOB,Last Known Destination,4,2018
Albania(2018),HS2017,ALL,Import,0.009262,Special,CIF,Origin,8,2018
Albania(2018),HS2017,ALL,Export,0.009264,Special,FOB,Last Known Destination,8,2018
Andorra(2018),HS2017,EUR,Import,1.17876,General,CIF,Origin,20,2018
Andorra(2018),HS2017,EUR,Export,1.183278,General,FOB,Last Known Destination,20,2018
Angola(2018),HS2017,AOA,Import,0.003955,Special,CIF,Origin,24,2018
Angola(2018),HS2017,AOA,Export,0.003955,Special,FOB,Last Known Destination,24,2018
Antigua and Barbuda(2018),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2018
Antigua and Barbuda(2018),HS2007,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2018
Argentina(2018),HS2017,USD,Import,1,Special,CIF,Origin,32,2018
Argentina(2018),HS2017,USD,Export,1,Special,FOB,Last Known Destination,32,2018
Armenia(2018),HS2017,USD,Import,1,General,CIF,Origin,51,2018
Armenia(2018),HS2017,USD,Export,1,General,FOB,Last Known Destination,51,2018
Aruba(2018),HS2012,AWG,Import,0.558659,General,CIF,Origin,533,2018
Aruba(2018),HS2012,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2018
Australia(2018),HS2017,AUD,Import,0.747154,General,FOB,Origin,36,2018
Australia(2018),HS2017,AUD,Export,0.747154,General,FOB,Last Known Destination,36,2018
Austria(2018),HS2017,EUR,Import,1.181084,Special,CIF,Origin,40,2018
Austria(2018),HS2017,EUR,Export,1.181373,Special,FOB,Last Known Destination,40,2018
Azerbaijan(2018),HS2017,USD,Import,1,General,CIF,Origin,31,2018
Azerbaijan(2018),HS2017,USD,Export,1,General,FOB,Last Known Destination,31,2018
Bahamas(2018),HS2012,USD,Import,1,General,CIF,Origin,44,2018
Bahamas(2018),HS2012,USD,Export,1,General,FOB,Last Known Destination,44,2018
Bahrain(2018),HS2017,BHD,Import,2.65957,General,CIF,Origin,48,2018
Bahrain(2018),HS2017,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2018
Barbados(2018),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2018
Barbados(2018),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2018
Belarus(2018),HS2017,USD,Import,1,General,CIF,Origin,112,2018
Belarus(2018),HS2017,USD,Export,1,General,FOB,Last Known Destination,112,2018
Belgium(2018),HS2017,EUR,Import,1.18121,Special,CIF,Origin/Consignment for Intra EU,56,2018
Belgium(2018),HS2017,EUR,Export,1.181547,Special,FOB,Last Known Destination,56,2018
Belize(2018),HS2017,BZD,Import,0.5,General,CIF,Origin,84,2018
Belize(2018),HS2017,BZD,Export,0.5,General,FOB,Last Known Destination,84,2018
Benin(2018),HS2012,XOF,Import,0.001799,General,CIF,Origin,204,2018
Benin(2018),HS2012,XOF,Export,0.001799,General,FOB,Last Known Destination,204,2018
Bermuda(2018),HS2017,BMD,Import,1,General,CIF,Origin,60,2018
Bermuda(2018),HS2017,BMD,Export,1,General,FOB,Last Known Destination,60,2018
Bolivia (Plurinational State of)(2018),HS2017,USD,Import,1,General,CIF,Origin,68,2018
Bolivia (Plurinational State of)(2018),HS2017,USD,Export,1,General,FOB,Last Known Destination,68,2018
Bosnia Herzegovina(2018),HS2017,USD,Import,1,Special,CIF,Origin,70,2018
Bosnia Herzegovina(2018),HS2017,USD,Export,1,Special,FOB,Last Known Destination,70,2018
Botswana(2018),HS2017,BWP,Import,0.098039,General,CIF,Origin,72,2018
Botswana(2018),HS2017,BWP,Export,0.098039,General,FOB,Last Known Destination,72,2018
Brazil(2018),HS2017,USD,Import,1,Special,CIF/FOB,Origin,76,2018
Brazil(2018),HS2017,USD,Export,1,Special,FOB,Last Known Destination,76,2018
Brunei Darussalam(2018),HS2017,BND,Import,0.740663,Special,CIF,Origin,96,2018
Brunei Darussalam(2018),HS2017,BND,Export,0.740987,Special,FOB,Last Known Destination,96,2018
Bulgaria(2018),HS2017,BGL,Import,0.603231,Special,CIF,Consignment,100,2018
Bulgaria(2018),HS2017,BGL,Export,0.603047,Special,FOB,Last Known Destination,100,2018
Burkina Faso(2018),HS2017,XAF,Import,0.001799,General,CIF,Origin,854,2018
Burkina Faso(2018),HS2017,XAF,Export,0.001799,General,FOB,Last Known Destination,854,2018
Burundi(2018),HS2012,BIF,Import,0.000561,General,CIF,Origin,108,2018
Burundi(2018),HS2012,BIF,Export,0.000561,General,FOB,Last Known Destination,108,2018
Cabo Verde(2018),HS2012,USD,Import,1,Special,CIF,Origin,132,2018
Cabo Verde(2018),HS2012,USD,Export,1,Special,FOB,Last Known Destination,132,2018
Cambodia(2018),HS2017,USD,Import,1,General,CIF,Origin,116,2018
Cambodia(2018),HS2017,USD,Export,1,General,FOB,Last Known Destination,116,2018
Cameroon(2018),HS2012,USD,Import,1,Special,CIF,Origin,120,2018
Cameroon(2018),HS2012,USD,Export,1,Special,FOB,Last Known Destination,120,2018
Canada(2018),HS2017,CAD,Import,0.771691,General,FOB,Origin,124,2018
