reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1980),SITC Rev.2,DZD,Import,0.260221,Special,CIF,Origin,12,1980
Algeria(1980),SITC Rev.2,DZD,Export,0.26059,Special,FOB,Consignment,12,1980
Angola(1980),SITC Rev.2,PTE,Import,NA,NULL,NULL,,24,1980
Angola(1980),SITC Rev.2,PTE,Export,0.33761,Special,FOB,Last Known Destination,24,1980
Argentina(1980),SITC Rev.2,USD,Import,1,Special,CIF,Origin,32,1980
Argentina(1980),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,32,1980
Australia(1980),SITC Rev.2,AUD,Import,1.12514,General,FOB,Origin,36,1980
Australia(1980),SITC Rev.2,AUD,Export,1.12371,General,FOB,Last Known Destination,36,1980
Austria(1980),SITC Rev.2,ATS,Import,0.77358,Special,CIF,Origin,40,1980
Austria(1980),SITC Rev.2,ATS,Export,0.77339,Special,FOB,Last Known Destination,40,1980
Bahamas(1980),SITC Rev.1,BSD,Import,1,General,CIF,Origin,44,1980
Bahamas(1980),SITC Rev.1,BSD,Export,1,General,FOB,Last Known Destination,44,1980
Bahrain(1980),SITC Rev.1,BHD,Import,2.6549,General,CIF,Origin,48,1980
Bahrain(1980),SITC Rev.1,BHD,Export,2.65332,General,FOB,Last Known Destination,48,1980
Bangladesh(1980),SITC Rev.2,BDT,Import,0.064972,General,CIF,Consignment,50,1980
Bangladesh(1980),SITC Rev.2,BDT,Export,0.0648,General,FOB,Last Known Destination,50,1980
Barbados(1980),SITC Rev.2,XCD,Import,0.4972,General,CIF,Origin,52,1980
Barbados(1980),SITC Rev.2,XCD,Export,0.4972,General,FOB,Last Known Destination,52,1980
Belgium-Luxembourg(1980),SITC Rev.2,BEF,Import,0.34206,Special,CIF,Origin,58,1980
Belgium-Luxembourg(1980),SITC Rev.2,BEF,Export,0.342,Special,FOB,Last Known Destination,58,1980
Belize(1980),SITC Rev.1,BZD,Import,0.5,General,CIF,Origin,84,1980
Belize(1980),SITC Rev.1,BZD,Export,0.5,General,FOB,Last Known Destination,84,1980
Benin(1980),SITC Rev.1,XOF,Import,0.474983,Special,CIF,Origin,204,1980
Benin(1980),SITC Rev.1,XOF,Export,0.47477,Special,FOB,Last Known Destination,204,1980
Bermuda(1980),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1980
Bermuda(1980),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1980
Bolivia (Plurinational State of)(1980),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1980
Bolivia (Plurinational State of)(1980),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1980
Brazil(1980),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1980
Brazil(1980),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1980
Brunei Darussalam(1980),SITC Rev.1,BND,Import,0.45869,Special,CIF,Origin,96,1980
Brunei Darussalam(1980),SITC Rev.1,BND,Export,0.458693,General,FOB,Last Known Destination,96,1980
Burkina Faso(1980),SITC Rev.2,XOF,Import,0.4734,Special,CIF,Origin,854,1980
Burkina Faso(1980),SITC Rev.2,XOF,Export,0.4731,Special,FOB,Last Known Destination,854,1980
Cabo Verde(1980),SITC Rev.2,PTE,Import,0.24724,Special,CIF,Origin,132,1980
Cabo Verde(1980),SITC Rev.2,PTE,Export,0.24764,Special,FOB,Last Known Destination,132,1980
Cameroon(1980),SITC Rev.2,XOF,Import,0.474523,Special,CIF,Origin,120,1980
Cameroon(1980),SITC Rev.2,XOF,Export,0.47607,Special,FOB,Last Known Destination,120,1980
Canada(1980),SITC Rev.2,CAD,Import,0.854987,General,FOB,Consignment,124,1980
Canada(1980),SITC Rev.2,CAD,Export,0.855159,General,FOB,Consignment,124,1980
Cayman Isds(1980),SITC Rev.2,KYD,Import,1.17647,General,CIF,Origin,136,1980
Cayman Isds(1980),SITC Rev.2,KYD,Export,1.176471,General,FOB,Last Known Destination,136,1980
Central African Rep.(1980),SITC Rev.2,XOF,Import,0.47326,Special,CIF,Origin,140,1980
Central African Rep.(1980),SITC Rev.2,XOF,Export,0.47326,Special,FOB,Last Known Destination,140,1980
Chile(1980),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,152,1980
Chile(1980),SITC Rev.1,USD,Export,1,Special,FOB,Sale,152,1980
"China, Hong Kong SAR(1980)",SITC Rev.2,HKD,Import,0.20054,General,CIF,Consignment,344,1980
"China, Hong Kong SAR(1980)",SITC Rev.2,HKD,Export,0.2005,General,FOB,Last Known Destination,344,1980
"China, Macao SAR(1980)",SITC Rev.2,MOP,Import,0.195453,General,CIF,Origin,446,1980
"China, Macao SAR(1980)",SITC Rev.2,MOP,Export,0.19585,General,FOB,Last Known Destination,446,1980
Colombia(1980),SITC Rev.2,USD,Import,1,Special,CIF,Purchase,170,1980
Colombia(1980),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,170,1980
Djibouti(1980),SITC Rev.2,DJF,Import,0.00563,General,CIF,Origin,262,1980
Djibouti(1980),SITC Rev.2,DJF,Export,NA,NULL,NULL,,262,1980
Egypt(1980),SITC Rev.1,EGP,Import,1.42857,Special,CIF,Consignment,818,1980
Egypt(1980),SITC Rev.1,EGP,Export,1.428567,Special,FOB,Last Known Destination,818,1980
Kenya(1980),SITC Rev.2,KES,Import,0.135031,General,CIF,Origin,404,1980
Kenya(1980),SITC Rev.2,KES,Export,0.13466,General,FOB,Last Known Destination,404,1980
Madagascar(1980),SITC Rev.2,MGF,Import,0.47326,Special,CIF,Origin,450,1980
Madagascar(1980),SITC Rev.2,MGF,Export,0.47326,Special,FOB,Last Known Destination,450,1980
Malawi(1980),SITC Rev.2,MWK,Import,1.23243,General,CIF,Origin,454,1980
Malawi(1980),SITC Rev.2,MWK,Export,1.23437,General,FOB,Last Known Destination,454,1980
Mauritius(1980),SITC Rev.2,MUR,Import,0.131176,General,CIF,Origin,480,1980
Mauritius(1980),SITC Rev.2,MUR,Export,0.12887,General,FOB,Last Known Destination,480,1980
Seychelles(1980),SITC Rev.2,SCR,Import,0.156453,Special,CIF,Origin,690,1980
Seychelles(1980),SITC Rev.2,SCR,Export,0.156423,Domestic,FOB,Last Known Destination,690,1980
Fmr Sudan(1980),SITC Rev.1,SDD,Import,2,General,CIF,Origin,736,1980
Fmr Sudan(1980),SITC Rev.1,SDD,Export,2,General,FOB,Last Known Destination,736,1980
United Rep. of Tanzania(1980),SITC Rev.1,TZS,Import,0.122029,General,CIF,Origin,834,1980
United Rep. of Tanzania(1980),SITC Rev.1,TZS,Export,0.122028,General,FOB,Last Known Destination,834,1980
Congo(1980),SITC Rev.2,XOF,Import,0.475045,Special,CIF,Origin,178,1980
Congo(1980),SITC Rev.2,XOF,Export,0.47145,Special,FOB,Last Known Destination,178,1980
