reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(2003),HS2002,ALL,Import,0.008249,Special,CIF,Origin,8,2003
Albania(2003),HS2002,ALL,Export,0.008221,Special,FOB,Last Known Destination,8,2003
Algeria(2003),HS2002,DZD,Import,0.012932,Special,CIF,Origin,12,2003
Algeria(2003),HS2002,DZD,Export,0.012945,Special,FOB,Last Known Destination,12,2003
Andorra(2003),HS2002,EUR,Import,1.132343,General,CIF,Origin,20,2003
Andorra(2003),HS2002,EUR,Export,1.132197,General,FOB,Last Known Destination,20,2003
Anguilla(2003),HS1992,XCD,Import,0.37037,General,CIF,Origin,660,2003
Anguilla(2003),HS1992,XCD,Export,0.37037,General,FOB,Last Known Destination,660,2003
Argentina(2003),HS2002,USD,Import,1,Special,CIF,Origin,32,2003
Argentina(2003),HS2002,USD,Export,1,Special,FOB,Last Known Destination,32,2003
Armenia(2003),HS2002,USD,Import,1,General,CIF,Origin,51,2003
Armenia(2003),HS2002,USD,Export,1,General,FOB,Last Known Destination,51,2003
Aruba(2003),HS2002,AWG,Import,0.558659,General,CIF,Origin,533,2003
Aruba(2003),HS2002,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2003
Australia(2003),HS2002,AUD,Import,0.6523,General,FOB,Origin,36,2003
Australia(2003),HS2002,AUD,Export,0.651579,General,FOB,Last Known Destination,36,2003
Austria(2003),HS2002,EUR,Import,1.1309,Special,CIF,Origin,40,2003
Austria(2003),HS2002,EUR,Export,1.131227,Special,FOB,Last Known Destination,40,2003
Azerbaijan(2003),HS1996,USD,Import,1,General,CIF,Origin,31,2003
Azerbaijan(2003),HS1996,USD,Export,1,General,FOB,Last Known Destination,31,2003
Bahamas(2003),HS2002,BSD,Import,1,General,CIF,Origin,44,2003
Bahamas(2003),HS2002,BSD,Export,1,General,FOB,Last Known Destination,44,2003
Bahrain(2003),HS2002,BHD,Import,2.65957,General,CIF,Origin,48,2003
Bahrain(2003),HS2002,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2003
Bangladesh(2003),HS2002,BDT,Import,0.017201,General,CIF,Consignment,50,2003
Bangladesh(2003),HS2002,BDT,Export,0.017193,General,FOB,Last Known Destination,50,2003
Barbados(2003),HS1996,BBD,Import,0.5,General,CIF,Origin,52,2003
Barbados(2003),HS1996,BBD,Export,0.5,General,FOB,Last Known Destination,52,2003
Belarus(2003),HS2002,USD,Import,1,General,CIF,Origin,112,2003
Belarus(2003),HS2002,USD,Export,1,General,FOB,Last Known Destination,112,2003
Belgium(2003),HS2002,EUR,Import,1.131241,Special,CIF,Origin/Consignment for Intra-EU,56,2003
Belgium(2003),HS2002,EUR,Export,1.131214,Special,FOB,Last Known Destination,56,2003
Belize(2003),HS1996,USD,Import,1,General,CIF,Origin,84,2003
Belize(2003),HS1996,USD,Export,1,General,FOB,Last Known Destination,84,2003
Benin(2003),HS1996,XAF,Import,0.001732,General,CIF,Origin,204,2003
Benin(2003),HS1996,XAF,Export,0.00172,General,FOB,Last Known Destination,204,2003
Bolivia (Plurinational State of)(2003),HS2002,USD,Import,1,Special,CIF,Origin,68,2003
Bolivia (Plurinational State of)(2003),HS2002,USD,Export,1,Special,FOB,Last Known Destination,68,2003
Bosnia Herzegovina(2003),HS2002,USD,Import,1,Special,CIF,Origin,70,2003
Bosnia Herzegovina(2003),HS2002,USD,Export,1,Special,FOB,Last Known Destination,70,2003
Botswana(2003),HS1996,BWP,Import,0.201687,Special,CIF,Origin,72,2003
Botswana(2003),HS1996,BWP,Export,0.201564,Special,FOB,Last Known Destination,72,2003
Brazil(2003),HS2002,USD,Import,1,Special,CIF,Origin,76,2003
Brazil(2003),HS2002,USD,Export,1,Special,FOB,Last Known Destination,76,2003
Brunei Darussalam(2003),HS1996,BND,Import,0.537924,Special,CIF,Origin,96,2003
Brunei Darussalam(2003),HS1996,BND,Export,0.537924,Special,FOB,Last Known Destination,96,2003
Bulgaria(2003),HS2002,BGN,Import,0.57918,Special,CIF,Origin,100,2003
Bulgaria(2003),HS2002,BGN,Export,0.57815,Special,FOB,Last Known Destination,100,2003
Burkina Faso(2003),HS1996,XAF,Import,0.001734,General,CIF,Origin,854,2003
Burkina Faso(2003),HS1996,XAF,Export,0.001719,General,FOB,Consumption,854,2003
