reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1971),SITC Rev.1,AFA,Import,0.11856,General,CIF,Origin,4,1971
Afghanistan(1971),SITC Rev.1,AFA,Export,0.11856,General,FOB,Last Known Destination,4,1971
Algeria(1971),SITC Rev.1,DZD,Import,20.36,Special,CIF,Origin,12,1971
Algeria(1971),SITC Rev.1,DZD,Export,0.203615,Special,FOB,Consignment,12,1971
Angola(1971),SITC Rev.1,PTE,Import,0.35368,Special,CIF,Origin,24,1971
Angola(1971),SITC Rev.1,PTE,Export,0.3533,Special,FOB,Last Known Destination,24,1971
Argentina(1971),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1971
Argentina(1971),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1971
Australia(1971),SITC Rev.1,AUD,Import,1.33651,General,FOB,Origin,36,1971
Australia(1971),SITC Rev.1,AUD,Export,1.33886,General,FOB,Last Known Destination,36,1971
Austria(1971),SITC Rev.1,ATS,Import,0.40094,Special,CIF,Origin,40,1971
Austria(1971),SITC Rev.1,ATS,Export,0.40116,Special,FOB,Last Known Destination,40,1971
Bahrain(1971),SITC Rev.1,BHD,Import,2.1,Special,CIF,Origin,48,1971
Bahrain(1971),SITC Rev.1,BHD,Export,2.1,Special,FOB,Last Known Destination,48,1971
Barbados(1971),SITC Rev.1,XCD,Import,0.5,General,CIF,Origin,52,1971
Barbados(1971),SITC Rev.1,XCD,Export,0.5,General,FOB,Last Known Destination,52,1971
Belgium-Luxembourg(1971),SITC Rev.1,BEF,Import,0.20509,Special,CIF,Origin,58,1971
Belgium-Luxembourg(1971),SITC Rev.1,BEF,Export,0.2052,Special,FOB,Last Known Destination,58,1971
Benin(1971),SITC Rev.1,USD,Import,1,Special,CIF,Origin,204,1971
Benin(1971),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,204,1971
Bermuda(1971),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1971
Bermuda(1971),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1971
Bolivia (Plurinational State of)(1971),SITC Rev.1,USD,Import,1,Special,CIF,Origin,68,1971
Bolivia (Plurinational State of)(1971),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,68,1971
Brazil(1971),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1971
Brazil(1971),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,76,1971
Brunei Darussalam(1971),SITC Rev.1,BND,Import,0.32667,Special,CIF,Origin,96,1971
Brunei Darussalam(1971),SITC Rev.1,BND,Export,0.326667,General,FOB,Last Known Destination,96,1971
