reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Albania(2005),HS2002,ALL,Import,0.00999,Special,CIF,Origin,8,2005
Albania(2005),HS2002,ALL,Export,0.010009,Special,FOB,Last Known Destination,8,2005
Algeria(2005),HS2002,USD,Import,1,Special,CIF,Origin,12,2005
Algeria(2005),HS2002,USD,Export,1,Special,FOB,Last Known Destination,12,2005
Andorra(2005),HS2002,EUR,Import,1.24575,General,CIF,N/A,20,2005
Andorra(2005),HS2002,EUR,Export,1.24575,General,FOB,Last Known Destination,20,2005
Antigua and Barbuda(2005),HS1996,USD,Import,1,General,CIF,Origin,28,2005
Antigua and Barbuda(2005),HS1996,USD,Export,1,General,FOB,Last Known Destination,28,2005
Argentina(2005),HS2002,USD,Import,1,Special,CIF,Origin,32,2005
Argentina(2005),HS2002,USD,Export,1,Special,FOB,Last Known Destination,32,2005
Armenia(2005),HS2002,USD,Import,1,General,CIF,Origin,51,2005
Armenia(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,51,2005
Aruba(2005),HS2002,USD,Import,1,General,CIF,Origin,533,2005
Aruba(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,533,2005
Australia(2005),HS2002,AUD,Import,0.763307,General,FOB,Origin,36,2005
Australia(2005),HS2002,AUD,Export,0.762851,General,FOB,Last Known Destination,36,2005
Austria(2005),HS2002,EUR,Import,1.24302,Special,CIF,Purchase,40,2005
Austria(2005),HS2002,EUR,Export,1.24303,Special,FOB,Last Known Destination,40,2005
Azerbaijan(2005),HS2002,USD,Import,1,General,CIF,Origin,31,2005
Azerbaijan(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,31,2005
Bahamas(2005),HS2002,BSD,Import,1,General,CIF,Origin,44,2005
Bahamas(2005),HS2002,BSD,Export,1,General,FOB,Last Known Destination,44,2005
Bahrain(2005),HS2002,BHD,Import,2.65957,General,CIF,Origin,48,2005
Bahrain(2005),HS2002,BHD,Export,2.65957,General,FOB,Last Known Destination,48,2005
Bangladesh(2005),HS2002,BDT,Import,0.015544,General,CIF,Consignment,50,2005
Bangladesh(2005),HS2002,BDT,Export,0.015539,General,FOB,Last Known Destination,50,2005
Barbados(2005),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2005
Barbados(2005),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2005
Belarus(2005),HS2002,USD,Import,1,General,CIF,Origin,112,2005
Belarus(2005),HS2002,USD,Export,1,General,FOB,Last known Destination,112,2005
Belgium(2005),HS2002,EUR,Import,1.244348,Special,CIF,Origin/Consignment for Intra-EU,56,2005
Belgium(2005),HS2002,EUR,Export,1.244674,Special,FOB,Last Known Destination,56,2005
Belize(2005),HS2002,BZD,Import,0.5,General,CIF,Origin,84,2005
Belize(2005),HS2002,BZD,Export,0.5,General,FOB,Last Known Destination,84,2005
Benin(2005),HS1996,XAF,Import,0.001896,General,CIF,Origin,204,2005
Benin(2005),HS1996,XAF,Export,0.001881,General,FOB,Last Known Destination,204,2005
Bermuda(2005),HS2002,BMD,Import,1,General,FOB,Origin,60,2005
Bermuda(2005),HS2002,BMD,Export,1,General,FOB,N/A,60,2005
Bhutan(2005),HS2002,BTN,Import,0.022718,General,CIF,Origin,64,2005
Bhutan(2005),HS2002,BTN,Export,0.022691,General,FOB,Last Known Destination,64,2005
Bolivia (Plurinational State of)(2005),HS2002,USD,Import,1,Special,CIF,Origin,68,2005
Bolivia (Plurinational State of)(2005),HS2002,USD,Export,1,Special,FOB,Last Known Destination,68,2005
Bosnia Herzegovina(2005),HS2002,BAM,Import,0.630883,Special,CIF,Origin,70,2005
Bosnia Herzegovina(2005),HS2002,BAM,Export,0.63134,Special,FOB,Last Known Destination,70,2005
Botswana(2005),HS1996,BWP,Import,0.196587,General,CIF,Origin,72,2005
Botswana(2005),HS1996,BWP,Export,0.197013,General,FOB,Last Known Destination,72,2005
Brazil(2005),HS2002,USD,Import,1,Special,CIF/FOB,Origin,76,2005
Brazil(2005),HS2002,USD,Export,1,Special,FOB,Last Known Destination,76,2005
Bulgaria(2005),HS2002,BGN,Import,0.633112,Special,CIF,Origin,100,2005
Bulgaria(2005),HS2002,BGN,Export,0.63406,Special,FOB,Last Known Destination,100,2005
Burkina Faso(2005),HS2002,XAF,Import,0.001896,General,CIF,Origin,854,2005
Burkina Faso(2005),HS2002,XAF,Export,0.001896,General,FOB,Last Known Destination,854,2005
Burundi(2005),HS1996,BIF,Import,0.000931,General,CIF,Origin,108,2005
Burundi(2005),HS1996,BIF,Export,0.000909,General,FOB,Last Known Destination,108,2005
Cabo Verde(2005),HS1996,CVE,Import,0.011261,Special,CIF,Origin,132,2005
Cabo Verde(2005),HS1996,CVE,Export,0.011216,Special,FOB,Last Known Destination,132,2005
Cambodia(2005),HS2002,KHR,Import,0.000244,General,CIF,Origin,116,2005
Cambodia(2005),HS2002,KHR,Export,0.000244,General,FOB,Last Known Destination,116,2005
Cameroon(2005),HS2002,XOF,Import,0.001889,Special,CIF,Origin,120,2005
Cameroon(2005),HS2002,XOF,Export,0.001887,Special,FOB,Last Known Destination,120,2005
Canada(2005),HS2002,CAD,Import,0.82563,General,FOB,Origin,124,2005
Canada(2005),HS2002,CAD,Export,0.826472,General,FOB,Last Known Destination,124,2005
Central African Rep.(2005),HS1992,XAF,Import,0.001895,Special,CIF,Origin,140,2005
Central African Rep.(2005),HS1992,XAF,Export,0.001884,Special,FOB,Last Known Destination,140,2005
Chile(2005),HS2002,USD,Import,1,General,CIF/FOB,Consignment,152,2005
Chile(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,152,2005
China(2005),HS2002,USD,Import,1,General,CIF,Origin,156,2005
China(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,156,2005
"China, Hong Kong SAR(2005)",HS2002,HKD,Import,0.128575,General,CIF,Consignment,344,2005
"China, Hong Kong SAR(2005)",HS2002,HKD,Export,0.128575,General,FOB,Last Known Destination,344,2005
"China, Macao SAR(2005)",HS2002,MOP,Import,0.124827,General,CIF,Origin,446,2005
"China, Macao SAR(2005)",HS2002,MOP,Export,0.124827,General,FOB,Last Known Destination,446,2005
Georgia(2005),HS2002,USD,Import,1,General,CIF,Purchase,268,2005
Georgia(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,268,2005
Kazakhstan(2005),HS2002,USD,Import,1,General,CIF,Origin,398,2005
Kazakhstan(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,398,2005
Kyrgyzstan(2005),HS2002,USD,Import,1,General,CIF,Consignment,417,2005
Kyrgyzstan(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,417,2005
Rep. of Moldova(2005),HS2002,USD,Import,1,General,CIF,Origin,498,2005
Rep. of Moldova(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,498,2005
Russian Federation(2005),HS2002,USD,Import,1,General,CIF,Origin,643,2005
Russian Federation(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,643,2005
Ukraine(2005),HS1996,USD,Import,1,General,CIF,Origin,804,2005
Ukraine(2005),HS1996,USD,Export,1,General,FOB,Last Known Destination,804,2005
Colombia(2005),HS2002,USD,Import,1,Special,CIF,Origin,170,2005
Colombia(2005),HS2002,USD,Export,1,Special,FOB,Last Known Destination,170,2005
Comoros(2005),HS1992,KMF,Import,0.002519,General,CIF,Consignment,174,2005
Comoros(2005),HS1992,KMF,Export,0.002519,General,FOB,Last Known Destination,174,2005
Egypt(2005),HS1992,EGP,Import,0.173051,General,CIF,Origin,818,2005
Egypt(2005),HS1992,EGP,Export,0.173051,General,FOB,Last Known Destination,818,2005
Ethiopia(2005),HS2002,ETB,Import,0.115381,General,CIF,Origin,231,2005
Ethiopia(2005),HS2002,ETB,Export,0.115393,General,FOB,Last Known Destination,231,2005
Kenya(2005),HS2002,KES,Import,0.013238,General,CIF,Origin,404,2005
Kenya(2005),HS2002,KES,Export,0.013228,General,FOB,Last Known Destination,404,2005
Madagascar(2005),HS2002,MGA,Import,0.000493,General,CIF,Origin,450,2005
Madagascar(2005),HS2002,MGA,Export,0.000488,General,FOB,Consumption,450,2005
Malawi(2005),HS2002,MWK,Import,0.008445,General,CIF,Origin,454,2005
Malawi(2005),HS2002,MWK,Export,0.008445,General,FOB,Last Known Destination,454,2005
Mauritius(2005),HS2002,MUR,Import,0.033845,General,CIF,Origin,480,2005
Mauritius(2005),HS2002,MUR,Export,0.03383,General,FOB,Last Known Destination,480,2005
Namibia(2005),HS2002,NAD,Import,0.15662,General,CIF,Origin,516,2005
Namibia(2005),HS2002,NAD,Export,0.157023,General,FOB,Last Known Destination,516,2005
Rwanda(2005),HS2002,RWF,Import,0.0018,General,CIF,Origin,646,2005
Rwanda(2005),HS2002,RWF,Export,0.001802,General,FOB,Last Known Destination,646,2005
Seychelles(2005),HS1992,SCR,Import,0.181802,General,CIF,Origin,690,2005
Seychelles(2005),HS1992,SCR,Export,0.181802,General,FOB,Last Known Destination,690,2005
Fmr Sudan(2005),HS1996,SDD,Import,0.410499,General,CIF,Origin,736,2005
Fmr Sudan(2005),HS1996,SDD,Export,0.410499,General,FOB,Last Known Destination,736,2005
Eswatini(2005),HS1996,SZL,Import,0.156991,General,CIF,Origin,748,2005
Eswatini(2005),HS1996,SZL,Export,0.156476,General,FOB,Last Known Destination,748,2005
United Rep. of Tanzania(2005),HS2002,USD,Import,1,General,CIF,Origin,834,2005
United Rep. of Tanzania(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,834,2005
Uganda(2005),HS2002,USD,Import,1,General,CIF,Origin,800,2005
Uganda(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,800,2005
Zambia(2005),HS2002,USD,Import,1,General,CIF,Origin,894,2005
Zambia(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,894,2005
Zimbabwe(2005),HS2002,USD,Import,1,General,CIF,Origin,716,2005
Zimbabwe(2005),HS2002,USD,Export,1,General,FOB,Last Known Destination,716,2005
Cook Isds(2005),HS2002,NZD,Import,0.702824,General,CIF,Origin,184,2005
Cook Isds(2005),HS2002,NZD,Export,0.705745,General,FOB,Last Known Destination,184,2005
Costa Rica(2005),HS2002,USD,Import,1,Special,CIF,Consignment,188,2005
