reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Brunei Darussalam(1964),SITC Rev.1,BND,Import,0.32667,Special,CIF,Origin,96,1964
Brunei Darussalam(1964),SITC Rev.1,BND,Export,0.326667,Special,FOB,Last Known Destination,96,1964
Myanmar(1964),SITC Rev.1,MMK,Import,0.21,General,CIF,Origin,104,1964
Myanmar(1964),SITC Rev.1,MMK,Export,0.21,General,FOB,Consignment,104,1964
Morocco(1964),SITC Rev.1,MAD,Import,0.1976,Special,CIF,Origin,504,1964
Morocco(1964),SITC Rev.1,MAD,Export,0.1976,Special,FOB,Last Known Destination,504,1964
