reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Algeria(1987),SITC Rev.2,DZD,Import,0.205804,Special,CIF,Origin,12,1987
Algeria(1987),SITC Rev.2,DZD,Export,0.205429,Special,FOB,Last Known Destination,12,1987
Argentina(1987),SITC Rev.2,USD,Import,1,Special,CIF,Origin,32,1987
Argentina(1987),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,32,1987
Australia(1987),SITC Rev.2,AUD,Import,0.699135,General,FOB,Origin,36,1987
Australia(1987),SITC Rev.2,AUD,Export,0.69954,General,FOB,Last Known Destination,36,1987
Austria(1987),SITC Rev.2,ATS,Import,0.079357,Special,CIF,Origin,40,1987
Austria(1987),SITC Rev.2,ATS,Export,0.07936,Special,FOB,Last Known Destination,40,1987
Bahamas(1987),SITC Rev.1,BSD,Import,1,General,CIF,Origin,44,1987
Bahamas(1987),SITC Rev.1,BSD,Export,1,General,FOB,Last Known Destination,44,1987
Bahrain(1987),SITC Rev.1,BHD,Import,2.65958,General,CIF,Origin,48,1987
Bahrain(1987),SITC Rev.1,BHD,Export,2.65958,General,FOB,Last Known Destination,48,1987
Bangladesh(1987),SITC Rev.2,BDT,Import,0.032599,General,CIF,Consignment,50,1987
Bangladesh(1987),SITC Rev.2,BDT,Export,0.03262,General,FOB,Last Known Destination,50,1987
Barbados(1987),SITC Rev.2,XCD,Import,0.497191,General,CIF,Origin,52,1987
Barbados(1987),SITC Rev.2,XCD,Export,0.49719,General,FOB,Last Known Destination,52,1987
Belgium-Luxembourg(1987),SITC Rev.2,BEF,Import,0.26855,Special,CIF,Origin,58,1987
Belgium-Luxembourg(1987),SITC Rev.2,BEF,Export,0.26895,Special,FOB,Last Known Destination,58,1987
Belize(1987),SITC Rev.1,BZD,Import,0.5,General,CIF,Origin,84,1987
Belize(1987),SITC Rev.1,BZD,Export,0.5,General,FOB,Last Known Destination,84,1987
Bolivia (Plurinational State of)(1987),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1987
Bolivia (Plurinational State of)(1987),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1987
Brazil(1987),SITC Rev.2,USD,Import,1,Special,CIF,Purchase,76,1987
Brazil(1987),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,76,1987
Brunei Darussalam(1987),SITC Rev.2,BND,Import,0.47483,Special,CIF,Origin,96,1987
Brunei Darussalam(1987),SITC Rev.2,BND,Export,0.47483,General,FOB,Last Known Destination,96,1987
