reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(2013),HS2002,USD,Import,1,General,CIF,Origin,4,2013
Afghanistan(2013),HS2002,USD,Export,1,General,FOB,Last Known Destination,4,2013
Albania(2013),HS2012,ALL,Import,0.009474,Special,CIF,Origin,8,2013
Albania(2013),HS2012,ALL,Export,0.009463,Special,FOB,Last Known Destination,8,2013
Algeria(2013),HS2012,DZD,Import,0.012611,Special,CIF,Origin,12,2013
Algeria(2013),HS2012,DZD,Export,0.012614,Special,FOB,Last Known Destination,12,2013
Andorra(2013),HS2012,EUR,Import,1.32989,General,CIF,Origin,20,2013
Andorra(2013),HS2012,EUR,Export,1.328665,General,FOB,Last Known Destination,20,2013
Angola(2013),HS2007,USD,Import,1,Special,CIF,Origin,24,2013
Angola(2013),HS2007,USD,Export,1,Special,FOB,Last Known Destination,24,2013
Antigua and Barbuda(2013),HS2007,XCD,Import,0.37037,General,CIF,Origin,28,2013
Antigua and Barbuda(2013),HS2007,XCD,Export,0.37037,General,FOB,Last Known Destination,28,2013
Argentina(2013),HS2012,USD,Import,1,Special,CIF,Origin,32,2013
Argentina(2013),HS2012,USD,Export,1,Special,FOB,Last Known Destination,32,2013
Armenia(2013),HS2012,USD,Import,1,General,CIF,Origin,51,2013
Armenia(2013),HS2012,USD,Export,1,General,FOB,Last Known Destination,51,2013
Aruba(2013),HS2007,AWG,Import,0.558659,General,CIF,Origin,533,2013
Aruba(2013),HS2007,AWG,Export,0.558659,General,FOB,Last Known Destination,533,2013
Australia(2013),HS2012,AUD,Import,0.964825,General,FOB,Origin,36,2013
Australia(2013),HS2012,AUD,Export,0.965131,General,FOB,Last Known Destination,36,2013
Austria(2013),HS2012,EUR,Import,1.328051,Special,CIF,Origin,40,2013
Austria(2013),HS2012,EUR,Export,1.327994,Special,FOB,Last Known Destination,40,2013
Azerbaijan(2013),HS2012,USD,Import,1,General,CIF,Origin,31,2013
Azerbaijan(2013),HS2012,USD,Export,1,General,FOB,Last Known Destination,31,2013
Bahamas(2013),HS2012,BSD,Import,1,General,CIF,N/A,44,2013
Bahamas(2013),HS2012,BSD,Export,1,General,FOB,N/A,44,2013
Bahrain(2013),HS2012,USD,Import,1,General,CIF,Origin,48,2013
Bahrain(2013),HS2012,USD,Export,1,General,FOB,Last Known Destination,48,2013
Bangladesh(2013),HS2012,BDT,Import,0.012804,General,CIF,Consignment,50,2013
Bangladesh(2013),HS2012,BDT,Export,0.012807,General,FOB,Last Known Destination,50,2013
Barbados(2013),HS2002,BBD,Import,0.5,General,CIF,Origin,52,2013
Barbados(2013),HS2002,BBD,Export,0.5,General,FOB,Last Known Destination,52,2013
Belarus(2013),HS2012,USD,Import,1,General,CIF,Origin,112,2013
Belarus(2013),HS2012,USD,Export,1,General,FOB,Last Known Destination,112,2013
Belgium(2013),HS2012,EUR,Import,1.32789,Special,CIF,Origin/Consignment for Intra EU,56,2013
Belgium(2013),HS2012,EUR,Export,1.327751,Special,FOB,Last Known Destination,56,2013
Belize(2013),HS2007,BZD,Import,0.5,General,CIF,Origin,84,2013
Belize(2013),HS2007,BZD,Export,0.5,General,FOB,Last Known Destination,84,2013
Benin(2013),HS2007,XOF,Import,0.002023,General,CIF,Origin,204,2013
Benin(2013),HS2007,XOF,Export,0.002031,General,FOB,Last Known Destination,204,2013
Bermuda(2013),HS2012,BMD,Import,1,General,CIF,Origin,60,2013
Bermuda(2013),HS2012,BMD,Export,1,General,FOB,Last Known Destination,60,2013
Bolivia (Plurinational State of)(2013),HS2012,USD,Import,1,General,CIF,Origin,68,2013
Bolivia (Plurinational State of)(2013),HS2012,USD,Export,1,General,FOB,Last Known Destination,68,2013
Bosnia Herzegovina(2013),HS2012,USD,Import,1,Special,CIF,Origin,70,2013
