year,country_iso,country_code,reported_classification_imports,reported_classification_exports,reported_currency_imports,reported_currency_exports,trade_flow_imports,trade_flow_exports,currency_conversion_factor_imports,currency_conversion_factor_exports,trade_system_imports,trade_system_exports,valuation_imports,valuation_exports,partner_imports,partner_exports
1967,brn,96,sitc rev.1,sitc rev.1,bnd,bnd,imports,exports,0.32667,0.326667,special,general,cif,fob,origin,last known destination
1967,bfa,854,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,khm,116,sitc rev.1,sitc rev.1,khr,khr,imports,exports,0.285714,0.285714,special,special,cif,fob,origin,last known destination
1967,cmr,120,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,can,124,sitc rev.1,sitc rev.1,cad,cad,imports,exports,0.925,0.925,general,general,fob,fob,consignment,consignment
1967,caf,140,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,tcd,148,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,chl,152,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,purchase,sale
1967,hkg,344,sitc rev.1,sitc rev.1,hkd,hkd,imports,exports,0.175,0.175,general,general,cif,fob,consignment,last known destination
1967,col,170,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,cog,178,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,cri,188,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,civ,384,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,dnk,208,sitc rev.1,sitc rev.1,dkk,dkk,imports,exports,0.1448,0.1448,general,general,cif,fob,origin,last known destination
1967,pak,586,sitc rev.1,sitc rev.1,pkr,pkr,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1967,ecu,218,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,egy,818,sitc rev.1,sitc rev.1,egp,egp,imports,exports,2.3,2.3,special,general,cif,fob,consignment,last known destination
1967,slv,222,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,fji,242,sitc rev.1,sitc rev.1,fjd,fjd,imports,exports,2.48333,2.483333,general,general,cif,fob,origin,last known destination
1967,fin,246,sitc rev.1,sitc rev.1,fim,fim,imports,exports,0.3125,0.3125,general,general,cif,fob,origin,last known destination
1967,eth,230,sitc rev.1,sitc rev.1,etb,etb,imports,exports,0.4,0.4,general,general,cif,fob,origin,last known destination
1967,ddr,278,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,pan,590,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,sdn,736,sitc rev.1,sitc rev.1,sdd,sdd,imports,exports,2.87157,2.87156,general,general,cif,fob,origin,last known destination
1967,yug,890,sitc rev.1,sitc rev.1,yud,yud,imports,exports,0.8,0.8,special,special,cif,fob,origin,last known destination
1967,fra,251,sitc rev.1,sitc rev.1,frf,frf,imports,exports,0.20255,0.20255,special,special,cif,fob,origin,last known destination
1967,guf,254,sitc rev.1,sitc rev.1,frf,frf,imports,exports,0.20255,0.20255,special,special,cif,fob,origin,last known destination
1967,gab,266,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,gha,288,sitc rev.1,sitc rev.1,ghc,ghc,imports,exports,0.98,0.98,general,general,cif,fob,origin,last known destination
1967,grc,300,sitc rev.1,sitc rev.1,grd,grd,imports,exports,0.333333,0.333333,special,special,cif,fob,consignment,last known destination
1967,glp,312,sitc rev.1,sitc rev.1,frf,frf,imports,exports,0.20255,0.20255,special,special,cif,fob,origin,last known destination
1967,gtm,320,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,hnd,340,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,hun,348,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,cif,fob,purchase,sale
1967,isl,352,sitc rev.1,sitc rev.1,isk,isk,imports,exports,0.232,0.23,special,special,cif,fob,origin,last known destination
1967,ind,699,sitc rev.1,sitc rev.1,inr,inr,imports,exports,0.133333,0.133333,general,general,cif,fob,consignment,last known destination
1967,idn,360,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,null,cif,fob,origin,last known destination
1967,irn,364,sitc rev.1,sitc rev.1,irr,irr,imports,exports,0.312,0.312,special,special,cif,fob,purchase,consignment
1967,irl,372,sitc rev.1,sitc rev.1,iep,iep,imports,exports,2.8,2.8,general,general,cif,fob,origin,last known destination
1967,isr,376,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,purchase,last known destination
1967,ita,381,sitc rev.1,sitc rev.1,itl,itl,imports,exports,0.16,0.16,special,special,cif,fob,origin,last known destination
1967,jpn,392,sitc rev.1,sitc rev.1,jpy,jpy,imports,exports,0.2778,0.2778,general,general,cif,fob,origin,last known destination
1967,jor,400,sitc rev.1,sitc rev.1,jod,jod,imports,exports,2.8,2.8,special,special,cif,fob,origin,last known destination
1967,lao,418,sitc rev.1,sitc rev.1,lak,lak,imports,exports,0.416667,0.416667,special,special,cif,fob,origin,last known destination
1967,lbn,422,sitc rev.1,sitc rev.1,lbp,lbp,imports,exports,0.324675,0.324675,special,special,cif,fob,origin,consignment
1967,lbr,430,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1967,lby,434,sitc rev.1,sitc rev.1,lyd,lyd,imports,exports,2.8,2.8,general,general,cif,fob,origin,last known destination
1967,mdg,450,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,mwi,454,sitc rev.1,sitc rev.1,mwk,mwk,imports,exports,2.4,2.4,general,general,cif,fob,origin,last known destination
1967,mys,458,sitc rev.1,sitc rev.1,myr,myr,imports,exports,0.326667,0.326667,general,general,cif,fob,origin,last known destination
1967,mli,466,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,mlt,470,sitc rev.1,sitc rev.1,mtl,mtl,imports,exports,2.76,2.74,general,general,cif,fob,origin,last known destination
1967,mtq,474,sitc rev.1,sitc rev.1,frf,frf,imports,exports,0.20255,0.20255,special,special,cif,fob,origin,last known destination
1967,mrt,478,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,mex,484,sitc rev.1,sitc rev.1,mxn,mxn,imports,exports,0.8,0.8,general,general,cif,fob,consignment,consignment
1967,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.197599,0.197599,special,special,cif,fob,origin,last known destination
1967,mmr,104,sitc rev.1,sitc rev.1,mmk,mmk,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1967,nld,532,sitc rev.1,sitc rev.1,ang,ang,imports,exports,0.530264,0.530264,special,special,fob,fob,consignment,last known destination
1967,nld,528,sitc rev.1,sitc rev.1,nlg,nlg,imports,exports,0.276243,0.276243,special,special,cif,fob,consignment,last known destination
1967,nzl,554,sitc rev.1,sitc rev.1,nzd,nzd,imports,exports,2.78,2.78,general,general,cif,fob,origin,last known destination
1967,nic,558,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1967,ner,562,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.04051,0.04051,special,special,cif,fob,origin,last known destination
1967,nga,566,sitc rev.1,sitc rev.1,ngn,ngn,imports,exports,3.04,2.8,general,general,cif,fob,origin,last known destination
1967,nor,579,sitc rev.1,sitc rev.1,nok,nok,imports,exports,0.14,0.14,general,general,cif,fob,origin,last known destination
1967,pry,600,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,consignment,last known destination
1967,per,604,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,phl,608,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,cif,NA,origin,last known destination
1967,prt,620,sitc rev.1,sitc rev.1,pte,pte,imports,exports,0.347826,0.347826,special,special,cif,fob,origin,last known destination
1967,kor,410,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,reu,638,sitc rev.1,sitc rev.1,frf,frf,imports,exports,0,0.20255,special,special,cif,fob,origin,last known destination
1967,wsm,882,sitc rev.1,sitc rev.1,wst,wst,imports,exports,1.39,1.39,general,general,cif,fob,origin,last known destination
1967,sen,686,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,sgp,702,sitc rev.1,sitc rev.1,sgd,sgd,imports,exports,0.326667,0.326667,general,general,cif,fob,origin,last known destination
1967,esp,724,sitc rev.1,sitc rev.1,esp,esp,imports,exports,0.166667,0.166667,special,special,cif,fob,origin,last known destination
1967,lka,144,sitc rev.1,sitc rev.1,lkr,lkr,imports,exports,0.21,0.21,general,general,cif,fob,origin,last known destination
1967,swe,752,sitc rev.1,sitc rev.1,sek,sek,imports,exports,0.193274,0.193274,general,general,cif,fob,origin,last known destination
1967,che,757,sitc rev.1,sitc rev.1,chf,chf,imports,exports,0.231054,0.231054,special,special,cif,fob,consignment,last known destination
1967,tha,764,sitc rev.1,sitc rev.1,thb,thb,imports,exports,0.47985,0.47985,general,general,cif,fob,origin,consignment
1967,tgo,768,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,tun,788,sitc rev.1,sitc rev.1,tnd,tnd,imports,exports,1.9048,1.9048,special,special,cif,fob,origin,last known destination
1967,tur,792,sitc rev.1,sitc rev.1,trl,trl,imports,exports,1.10132,1.111111,special,special,cif,fob,origin,last known destination
1967,usa,841,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,fob,fob,origin,last known destination
1967,gbr,826,sitc rev.1,sitc rev.1,gbp,gbp,imports,exports,2.8,2.8,general,general,cif,fob,consignment,last known destination
1967,ven,862,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,fob,fob,origin,consignment
1967,zmb,894,sitc rev.1,sitc rev.1,zmk,zmk,imports,exports,1.4,1.4,general,general,fob,fob,origin,last known destination
1968,afg,4,sitc rev.1,sitc rev.1,afa,afa,imports,exports,0.134282,0.134282,general,general,cif,fob,origin,last known destination
1968,dza,12,sitc rev.1,sitc rev.1,dzd,dzd,imports,exports,20.26,0.2026,special,special,cif,fob,origin,consignment
1968,arg,32,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1968,aus,36,sitc rev.1,sitc rev.1,aud,aud,imports,exports,1.12,1.12,general,general,fob,fob,origin,last known destination
1968,aut,40,sitc rev.1,sitc rev.1,ats,ats,imports,exports,0.384615,0.384615,special,special,cif,fob,origin,last known destination
1968,brb,52,sitc rev.1,sitc rev.1,xcd,xcd,imports,exports,0.5,0.5,general,general,cif,fob,origin,last known destination
1968,bel,58,sitc rev.1,sitc rev.1,bef,bef,imports,exports,0.2,0.2,special,special,cif,fob,origin,last known destination
1968,ben,204,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
